_id,Constituency No,Constituency Name,District Name,Winning Candidate,Sex,Age,Party,Constituency Type,Total Candidates,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %,Deposit Lost ?
1,1,NIPPANI,BELGAUM,JOLLE SHASHIKALA ANNASAHEB  (Winner),F,43,BJP,General,12,189696,152690,81860,80.49,53.61,12.22,No
2,1,NIPPANI,BELGAUM,JITENDRA SUBHASH NERLE,M,38,IND,General,12,189696,152690,192,80.49,0.13,0.04,Yes
3,1,NIPPANI,BELGAUM,PATHAN NIYAZ,M,26,KJP,General,12,189696,152690,691,80.49,0.45,0.28,Yes
4,1,NIPPANI,BELGAUM,KAKASO PANDURANG PATIL  (Runner Up),M,57,INC,General,12,189696,152690,63198,80.49,41.39,40.23,No
5,1,NIPPANI,BELGAUM,DR. CHANDRAKANT BASHETTI KURABETTI,M,63,IND,General,12,189696,152690,1545,80.49,1.01,0.2,Yes
6,1,NIPPANI,BELGAUM,RAMACHANDRA APPANNA PUJARI,M,65,IND,General,12,189696,152690,1232,80.49,0.81,0.22,Yes
7,1,NIPPANI,BELGAUM,SUJIT DINAKAR MHETRI,M,28,BSP,General,12,189696,152690,1771,80.49,1.16,0.15,Yes
8,1,NIPPANI,BELGAUM,BABASAHEB BALAGOUDA DESAI,M,56,IND,General,12,189696,152690,894,80.49,0.59,0.06,Yes
9,1,NIPPANI,BELGAUM,JAY ALIAS JAYAVANT SATAPPA CHOUGULE,M,36,IND,General,12,189696,152690,112,80.49,0.07,0,Yes
10,1,NIPPANI,BELGAUM,SUNDAR BABASAHEB PATIL,M,42,BSRCP,General,12,189696,152690,258,80.49,0.17,0.04,Yes
11,1,NIPPANI,BELGAUM,PATIL LAKHAMAGOUD YALAGONDA,M,48,JD(S),General,12,189696,152690,805,80.49,0.53,0.07,Yes
12,1,NIPPANI,BELGAUM,JAYAVANT MIRAJAKAR,M,52,IND,General,12,189696,152690,132,80.49,0.09,0.01,Yes
13,2,CHIKKODI-SADALGA,BELGAUM,BHIMAGOUD SHANKAR KHOT,M,30,JD(U),General,12,187308,149375,213,79.75,0.14,0,Yes
