_id,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
1,Nippani,Belgaum,Jolle Shashikala Annasaheb,F,43,BJP,GEN,189696,152690,81860,53.61
2,Nippani,Belgaum,Jitendra Subhash Nerle,M,38,IND,GEN,189696,152690,192,0.13
3,Nippani,Belgaum,Pathan Niyaz,M,26,KJP,GEN,189696,152690,691,0.45
4,Nippani,Belgaum,Kakaso Pandurang Patil,M,57,INC,GEN,189696,152690,63198,41.39
5,Nippani,Belgaum,Dr. Chandrakant Bashetti Kurabetti,M,63,IND,GEN,189696,152690,1545,1.01
6,Nippani,Belgaum,Ramachandra Appanna Pujari,M,65,IND,GEN,189696,152690,1232,0.81
7,Nippani,Belgaum,Sujit Dinakar Mhetri,M,28,BSP,GEN,189696,152690,1771,1.16
8,Nippani,Belgaum,Babasaheb Balagouda Desai,M,56,IND,GEN,189696,152690,894,0.59
9,Nippani,Belgaum,Jay Alias Jayavant Satappa Chougule,M,36,IND,GEN,189696,152690,112,0.07
10,Nippani,Belgaum,Sundar Babasaheb Patil,M,42,BSRC,GEN,189696,152690,258,0.17
11,Nippani,Belgaum,Patil Lakhamagoud Yalagonda,M,48,JD(S),GEN,189696,152690,805,0.53
12,Nippani,Belgaum,Jayavant Mirajakar,M,52,IND,GEN,189696,152690,132,0.09
13,Chikkodi-Sadalga,Belgaum,Bhimagoud Shankar Khot,M,30,JD(U),GEN,187308,149375,213,0.14
14,Chikkodi-Sadalga,Belgaum,Ramagouda Urp Somesh Iragouda Patil,M,36,KJP,GEN,187308,149375,760,0.51
15,Chikkodi-Sadalga,Belgaum,Mohan Gurappa Motannavar,M,39,IND,GEN,187308,149375,448,0.3
16,Chikkodi-Sadalga,Belgaum,Prakash Babanna Hukkeri,M,66,INC,GEN,187308,149375,102237,68.44
17,Chikkodi-Sadalga,Belgaum,Siddappa Shankar Itanale,M,46,BSRC,GEN,187308,149375,315,0.21
18,Chikkodi-Sadalga,Belgaum,Bahubali Shamagouda Patil,M,29,IND,GEN,187308,149375,568,0.38
19,Chikkodi-Sadalga,Belgaum,Dr Annappa Maruti Magadum,M,46,JD(S),GEN,187308,149375,1842,1.23
20,Chikkodi-Sadalga,Belgaum,Kalagouda Babu Kalasappagoal,M,46,IND,GEN,187308,149375,301,0.2
21,Chikkodi-Sadalga,Belgaum,Appasaheb Shripati Kurane,M,30,LJP,GEN,187308,149375,494,0.33
22,Chikkodi-Sadalga,Belgaum,Raju Sambha Kamate,M,40,IND,GEN,187308,149375,1139,0.76
23,Chikkodi-Sadalga,Belgaum,Basavanni Rudrappa Sangappagol,M,69,BJP,GEN,187308,149375,25649,17.17
24,Chikkodi-Sadalga,Belgaum,Kiwad Nagesh Tukaram,M,31,BSP,GEN,187308,149375,15409,10.32
25,Athani,Belgaum,Gurunath Balu Bhori,M,42,NCP,GEN,186167,146290,442,0.3
26,Athani,Belgaum,Ratnavva Vittal Tatri Urf Pujari,F,32,IND,GEN,186167,146290,841,0.57
27,Athani,Belgaum,Mahesh Iranagouda Kumathalli,M,51,INC,GEN,186167,146290,50528,34.54
28,Athani,Belgaum,Shikhandhar Hajisab Mulla,M,62,BSRC,GEN,186167,146290,750,0.51
29,Athani,Belgaum,Sanganagoud Gurupadagoud Patil,M,61,KJP,GEN,186167,146290,1580,1.08
30,Athani,Belgaum,Vasant Yamanappa Dalawai,M,38,LSP,GEN,186167,146290,581,0.4
31,Athani,Belgaum,Laxman Sangappa Savadi,M,53,BJP,GEN,186167,146290,74299,50.79
32,Athani,Belgaum,Sadashiv Kedari Butali,M,58,JD(S),GEN,186167,146290,15204,10.39
33,Athani,Belgaum,Basavaraj Irappa Awati,M,33,IND,GEN,186167,146290,507,0.35
34,Athani,Belgaum,Annappa Somanna Aigali,M,46,BSP,GEN,186167,146290,1558,1.07
35,Kagwad,Belgaum,Bharamgoud Alagoud Kage,M,55,BJP,GEN,164201,129200,41784,32.34
36,Kagwad,Belgaum,Ramappa Bheemappa Huddar,M,55,IND,GEN,164201,129200,493,0.38
37,Kagwad,Belgaum,Surendra Pradhanji Talwalkar,M,67,NCP,GEN,164201,129200,768,0.59
38,Kagwad,Belgaum,Kirankumar Tatyagouda Patil,M,54,INC,GEN,164201,129200,33057,25.59
39,Kagwad,Belgaum,Shrimant Balasaheb Patil,M,57,JD(S),GEN,164201,129200,38897,30.11
40,Kagwad,Belgaum,Diwakar Ramachandra Potadar,M,41,BSRC,GEN,164201,129200,363,0.28
41,Kagwad,Belgaum,Vidyadhar S. Kamble,M,31,BSP,GEN,164201,129200,2158,1.67
42,Kagwad,Belgaum,Shoba Balu Tavadare,F,39,IND,GEN,164201,129200,908,0.7
43,Kagwad,Belgaum,Narasinha Tukaram Patil,M,35,IND,GEN,164201,129200,642,0.5
44,Kagwad,Belgaum,Bahusab Ashok Naik (Dhavale),M,31,IND,GEN,164201,129200,434,0.34
45,Kagwad,Belgaum,Raju Annasab Patil,M,32,JD(U),GEN,164201,129200,305,0.24
46,Kagwad,Belgaum,Jayshree Savant Pujari,F,48,IND,GEN,164201,129200,603,0.47
47,Kagwad,Belgaum,Ajit Bharamu Chougale,M,43,KJP,GEN,164201,129200,8788,6.8
48,Kudachi,Belgaum,Shekhar Shripati Kamble,M,44,IND,SC,147941,115375,598,0.52
49,Kudachi,Belgaum,Mahendra Kallappa Tammannavar,M,34,BJP,SC,147941,115375,14310,12.4
50,Kudachi,Belgaum,Ghatage Shama Bhima,M,50,INC,SC,147941,115375,24823,21.52
