,constituency,district,name,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent
0,Afzalpur,Gulbarga,Malikayya Venkayya Guttedar,M,57,INC,GEN,190336,128606,38093,29.62
1,Aland,Gulbarga,B.R.Patil,M,63,KJP,GEN,192986,132385,67085,50.67
2,Anekal,Bangalore Urban,Shivanna.B,M,46,INC,SC,270767,186461,105464,56.56
3,Arabhavi,Belgaum,Balachandra Laxmanrao Jarkiholi,M,47,BJP,GEN,196454,145099,99283,68.42
4,Arkalgud,Hassan,Manju A,M,55,INC,GEN,197950,170262,61369,36.04
5,Arsikere,Hassan,K M Shivalingegowda,M,55,JD(S),GEN,197423,158869,76579,48.2
6,Athani,Belgaum,Laxman Sangappa Savadi,M,53,BJP,GEN,186167,146290,74299,50.79
7,Aurad,Bidar,Prabhu B. Chavhan,M,44,BJP,SC,189099,129101,61826,47.89
8,B.T.M.Layout,B.B.M.P(South),Ramalinga Reddy,M,60,INC,GEN,206974,110486,69712,63.1
9,Babaleshwar,Bijapur,M.B.Patil,M,49,INC,GEN,184083,134348,62061,46.19
10,Badami,Bagalkot,Chimmanakatti Balappa Bhimappa,M,62,INC,GEN,196662,139071,57446,41.31
11,Bagalkot,Bagalkot,Meti Hullappa Yamanappa,M,68,INC,GEN,201375,139966,68216,48.74
12,Bagepalli,Chikkaballapur,S. N. Subbareddy (Chinnakayalapalli),M,47,IND,GEN,175917,150498,66227,44.01
13,Bailhongal,Belgaum,Vishwanath Patil,M,48,KJP,GEN,163270,126797,40709,32.11
14,Bangalore South,Bangalore Urban,M Krishnappa,M,50,BJP,GEN,447562,250737,102207,40.76
15,Bangarapet,Kolar,S.N Narayanaswamy K.M,M,45,INC,SC,172912,141858,71570,50.45
16,Bantval,Dakshina Kannada,B. Ramanatha Rai,M,61,INC,GEN,197060,156188,81665,52.29
17,Basavakalyan,Bidar,Mallikarjun Sidramappa Khuba,M,36,JD(S),GEN,198007,126172,37494,29.72
18,Basavana Bagevadi,Bijapur,Shivanand S Patil,M,53,INC,GEN,175846,126819,56329,44.42
19,Basavanagudi,B.B.M.P(South),Ravi Subramanya.L.A.,M,55,BJP,GEN,198604,103647,43876,42.33
20,Belgaum Dakshin,Belgaum,Sambhaji Lakshman Patil,M,62,IND,GEN,202238,131946,54426,41.25
21,Belgaum Rural,Belgaum,Sanjay B Patil,M,44,BJP,GEN,205568,152059,38322,25.2
22,Belgaum Uttar,Belgaum,Fairoz Nuruddin Saith,M,61,INC,GEN,193980,115183,45125,39.18
23,Bellary,Bellary,B. Sreeramulu,M,42,BSRC,ST,173111,130314,74854,57.44
24,Bellary City,Bellary,Anil H Lad,M,39,INC,GEN,194202,119471,52098,43.61
25,Belthangady,Dakshina Kannada,K Vasantha Bangera,M,68,INC,GEN,193864,146229,74530,50.97
26,Belur,Hassan,Rudresh Gowda. Y. N,M,57,INC,GEN,174842,132940,48802,36.71
27,Bhadravati,Shimoga,M.J.Appaji,M,60,JD(S),GEN,199358,143556,78370,54.59
28,Bhalki,Bidar,Eshwara Khandre,M,51,INC,GEN,200474,147091,58012,39.44
29,Bhatkal,Uttara Kannada,Mankala Subba Vaidya,M,41,IND,GEN,189664,134517,37319,27.74
30,Bidar,Bidar,Gurupadappa Nagamarpalli,M,71,KJP,GEN,190262,112971,50718,44.89
31,Bidar South,Bidar,Ashok Kheny,M,62,KMP,GEN,181107,124857,47763,38.25
32,Bijapur City,Bijapur,Makbul S Bagawan,M,44,INC,GEN,211756,119021,48615,40.85
33,Bilgi,Bagalkot,Jagadish Patil,M,63,INC,GEN,190466,149179,66655,44.68
34,Bommanahalli,B.B.M.P(South),M.Sathish Reddy,M,41,BJP,GEN,323091,174734,86552,49.53
35,Byadgi,Haveri,Basavaraj Neelappa Shivannanavar,M,57,INC,GEN,180548,149831,57707,38.51
36,Byatarayanapura,Bangalore Urban,Krishna Byre Gowda,M,40,INC,GEN,330387,208322,96125,46.14
37,Byndoor,Udupi,K Gopala Poojari,M,53,INC,GEN,194914,148090,82277,55.56
38,C.V. Raman Nagar,B.B.M.P(North),S. Raghu,M,43,BJP,SC,197124,106178,53364,50.26
39,Challakere,Chitradurga,T.Raghumurthy,M,50,INC,ST,188758,147776,60197,40.74
40,Chamaraja,Mysore,Vasu,M,60,INC,GEN,198462,109938,41930,38.14
41,Chamarajanagar,Chamarajnagar,C Puttarangashetty,M,59,INC,GEN,186873,146760,54440,37.09
42,Chamrajpet,B.B.M.P(Central),B.Z.Zameer Ahmed Khan,M,48,JD(S),GEN,183009,107679,56339,52.32
43,Chamundeshwari,Mysore,G.T Devegowda,M,63,JD(S),GEN,239448,176962,75864,42.87
44,Channagiri,Davangere,Vadnal Rajanna,M,61,INC,GEN,175842,143385,53355,37.21
45,Channapatna,Ramanagaram,C P Yogeshwara,M,50,SP,GEN,198764,168511,80099,47.53
46,Chickpet,B.B.M.P(Central),R.V.Devaraj,M,55,INC,GEN,187694,108814,44714,41.09
