,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
0,Gundlupet,A G Ramachandra Rao,All India Mahila Empowerment Party,61.0,0.0,5805000.0,1500000.0,Graduates,"B.A FROM BANMAHHIA COLLEGE ,MYSORE,MYSORE UNIVERSITY",Chamarajnagar,BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify
1,Mahadevapura,A C Srinivasa,INC,51.0,0.0,1048951850.0,333799627.0,Graduates,B.com VV puram college,Bangalore Urban,"land development ,support for agriculturist and school",land development and land consultant,Agriculture / Farming,"Construction / Real Estate, Consulting / Advisory"
2,Gubbi,A B Ajaz Pasha,IND,39.0,0.0,2100000.0,100000.0,Graduates,B.Sc From Bangalore University. 1999-2000,Tumkur,Private Teacher,House Wife,Education / Academia,Cound't Classify
3,Holalkere,A Basavarajappa,IND,71.0,0.0,50000.0,,Postgraduates,MA in Kannada,Chitradurga,Retired Principal,Homemaker,Education / Academia,Not Given
4,Jagalur,A L Pushpa,IND,45.0,0.0,11890260.0,3900000.0,Postgraduates,MA ENGLISH,Davangere,Social Service,GOVT EMPLOYEE,Social Work / Activism,Unknown
5,Lingsugur,A Balaswamy Kodli,IND,55.0,2.0,12814500.0,2100000.0,Graduates,BA gulbarga university in 1994,Raichur,Agriculture Social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia
6,Channapatna,A Krishna,IND,52.0,0.0,6165000.0,,Secondary Education,"S.S.L.C Public High School, Mathikere-Shettahalli, Channapatana Taluk",Ramanagaram,Agriculture and Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
7,Kolar,A Ananda Kumar,Rashtriya Manav Vikas Party,50.0,0.0,97000.0,,Secondary Education,"SSLC -St. Mary's School, ITI From Nuri ITI K.G.F",Kolar,Wage Work,Private Teacher,Not Given,Education / Academia
8,Shrirangapattana,A B Ramesha Bandisiddegowda,INC,51.0,1.0,27294828.0,,Diploma Holders,"Diploma in Electronics and Telecommunication in D.Banumaiah college,Mysore ,batch 1989-90",Mandya,Agriculturist,Housewife and Job employee,Agriculture / Farming,Not Given
9,Mahadevapura,A Lakshmaiah,IND,63.0,0.0,8294237.0,6000.0,Primary Education,6th,Bangalore Urban,Agriculture,Housewife,Agriculture / Farming,Education / Academia
10,Madikeri,A Mohammed Haneef,IND,34.0,0.0,1521000.0,3500000.0,Primary Education,GOVT PRIMARY SCHOOL SIDAPURA KODAGU 1995,Kodagu,HOTEL AND CHIKAN CENTER,Not Given,"Hospitality / Tourism, Not Given",Cound't Classify
11,Yelahanka,A M Hanumanthegowda,JD(S),43.0,0.0,226246097.0,33412580.0,Graduates,"Completed in 8th- 10th standard in Kengeri Junior College, Kengeri, Bengaluru-60(1987-1990) and PUC in Govt. Arts College, Kalasipalya, V.V. Puram, Bengaluru-4(1990-1993).",Bangalore Urban,A. P. M. C. Director and Business,Zilla Panchayat Member and Housewife,"Business / Entrepreneurship, Social Work / Activism",Social Work / Activism
12,Govindraj Nagar,A Nagendra Prasad,JD(S),50.0,0.0,4184000.0,675000.0,Higher Secondary Education,PUC INCOMPLETE VIVEKANANDA COLLEGE BANGALORE YEAR-1980,B.B.M.P(South),BUSINESS (TRAVEL AGENCY ),House Wife,Business / Entrepreneurship,Cound't Classify
13,Tirthahalli,A Putthabba,All India Mahila Empowerment Party,46.0,0.0,2125434.0,150000.0,Unknown,SSLC fail,Shimoga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
14,Yadgir,A C Kadlur,JD(S),75.0,1.0,62695409.0,1870148.0,Graduates,"B.COM DEGREE FROM SB HIGH SCHOOL KALABURAGI AND SB COLLEGE KALABURAGI IN 1970-71,L.L.B FROM SSL LAW COLLEGE KALBURAGI IN 1973-74",Yadgir,LAND,LAND,Construction / Real Estate,Construction / Real Estate
15,Arkalgud,A Manju,INC,60.0,1.0,223582361.0,3860107.0,Postgraduates,B.A AND LLB AT SJRC COLLEGE BANGALORE IN THE YEAR 1985-86,Hassan,LAWYER,HOUSE WIFE,Law / Judiciary,Not Given
16,Krishnarajpet,A C Kantha,KPJP,37.0,0.0,5315711.0,60000.0,Unknown,Unknown,Mandya,Agriculturist,Housewife,Agriculture / Farming,Education / Academia
17,Kollegal,A R Krishnamurthy,INC,57.0,0.0,25445204.0,,Postgraduates,DEGREE IN THE YEAR 1981 MARIYAPPA COLLEGE AND POST GRADUATE DIPLOMA IN JOURNALISM THE YEAR 1988,Chamarajnagar,FORMER MLA AND PRESIDENT OWNER OF AMBEDIKAR DEVELOPMENT AND PETROL BANK OWNER,HOUSEWIFE,"Politics / Public Service, Business / Entrepreneurship",Not Given
18,Chamarajanagar,A M Mallikarjunaswamy (Alur Mallu),BSP,45.0,0.0,3570000.0,512000.0,Higher Secondary Education,"PUC ,Siddagangae Jr College,Year-1994, SSLc -Alur Govt School,Year-1992",Chamarajnagar,Agriculturalist,Teacher,Agriculture / Farming,Education / Academia
19,Shanti Nagar,A A Santosh,IND,48.0,0.0,22450500.0,25000.0,Secondary Education,SSLC At RBANM'S high School Banglaore 1989,B.B.M.P(Central),John's medical College (Pvt),Teacher In Govt School,Education / Academia,Education / Academia
20,Shrirangapattana,A S Ravindra,JD(S),46.0,0.0,6895000.0,1600000.0,Graduates,"BA year 1990-91 P.E.S College ,Mandya",Mandya,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia
21,Hiriyur,A Shivashankarappa,Prajaa Raita Raajya Paksha,63.0,0.0,6120000.0,1500000.0,Secondary Education,5th Standard in Babbur Govt. High School.,Chitradurga,Social Service And Agriculture,No,"Social Work / Activism, Agriculture / Farming",Cound't Classify
22,Srinivaspur,A V Ramesh Kumar,IND,41.0,0.0,53000.0,,Secondary Education,10th pass in the year 1993,Kolar,Agriculture,Agriculturist,Agriculture / Farming,Agriculture / Farming
23,Yellapur,A Ravindra Naik,JD(S),54.0,0.0,6144015.0,610172.0,Postgraduates,"MA IN Indiragandhi Open University,Mysore-19940 And LLB In M.E.S ,Law College Sirasi Year1994",Uttara Kannada,Lawyer,Lecturer,Law / Judiciary,Education / Academia
24,Arkalgud,A T Ramaswamy,JD(S),66.0,0.0,40811816.0,,Graduates,"B.Sc in Agriculture, Agriculture College, Dharwad ,Agriculture University in 1974",Hassan,Agriculture and Ex-MLA,"Agriculture,Poultry farm,Horticulture,","Agriculture / Farming, Politics / Public Service",Agriculture / Farming
25,Koratagere,A V Nagaraju,IND,32.0,1.0,185000.0,85000.0,Higher Secondary Education,"2nd PU,Govt Junior College,Koratagere",Tumkur,Day Worker,Housewife,Unknown,Education / Academia
26,Harapanahalli,A T Dadakhalandar,IND,36.0,0.0,77170.0,18000.0,Secondary Education,"10th Standard in Govt. Pre College, Harapanahalli.",Davangere,Photographer,Not Given,Arts / Entertainment,Cound't Classify
27,Shimoga,A Yaseen Mubarak,IND,37.0,0.0,3250000.0,,Unknown,Unknown,Shimoga,Business,Not Given,Business / Entrepreneurship,Cound't Classify
28,Gandhi Nagar,A. Elankovan,Aam Aadmi Party,53.0,0.0,1620000.0,,Graduates,"B.E. (Mechanical) from National Institute of Technology, Surathkal, Karnataka in 1983 to 1987",B.B.M.P(Central),Engineering Consultant,Home Maker,"Engineering / Technology, Consulting / Advisory",Not Given
29,Anekal,A.Narayanaswamy,BJP,60.0,0.0,70435665.0,100000.0,Graduates,BA GOVERNMENT ARTS COLLEGE BANGALORE IN 1982,Bangalore Urban,REAL ESTATE AND SOCIAL WORKER,REAL ESTATE AND House Wife,"Construction / Real Estate, Social Work / Activism",Construction / Real Estate
30,Nagamangala,A. Yadavanahalli P. C. Krishnegowda,IND,41.0,0.0,3654500.0,0.0,Higher Secondary Education,P.U.C From Jagajyothi Basaveshwara Junior College Bangalore Rajajinagar in the year-1987,Mandya,Agriculturist and Editor of the Press and Journalist,Not Given,"Agriculture / Farming, Media / Journalism",Cound't Classify
31,Anekal,A.Narayanaswamy,IND,41.0,0.0,20000.0,,Unknown,Unknown,Bangalore Urban,Business and Auto Driver,Housewife,"Business / Entrepreneurship, Transportation / Logistics",Education / Academia
32,Magadi,A. Manjunath,JD(S),45.0,2.0,79436194.0,50712919.0,Graduates,B.B.M- Rerukachrya College Bangalore Vishvavidyalaya yr 1993-94,Ramanagaram,Agriculture Ex-ZP Member,Business,"Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship
33,Bagepalli,A. N. Narendra Melina Appireedy Halli,IND,31.0,0.0,85000.0,1600.0,Technical/Professional Courses,ITI Electrical,Chikkaballapur,Electrical Contractor,Not Given,Engineering / Technology,Cound't Classify
34,Gandhi Nagar,A.R. Sapthagiri Gowda,BJP,39.0,0.0,160589378.0,50629362.0,Postgraduates,University Post Graduate Diploma in Law (Staffordshire Unviersity U K) in 2005,B.B.M.P(Central),Entrepreneur and Consultant,Homemaker,"Business / Entrepreneurship, Consulting / Advisory",Not Given
35,Varuna,A R Swamy,Bharatiya Dr. B.R.Ambedkar Janta Party,51.0,0.0,31000.0,,Graduates,"B.A from Govt Arts College, Nurputunga Road, Bangalore Year 1986-87",Mysore,Business,House wife,Business / Entrepreneurship,Not Given
36,Byatarayanapura,A Ravi,BJP,57.0,0.0,71752394.0,7400000.0,Graduates,BA SJRS colleage bangalore university,Bangalore Urban,agriculture and Business,housewife agriculture,"Business / Entrepreneurship, Agriculture / Farming","Agriculture / Farming, Not Given"
37,Bidar South,A Saleem,Bharatiya Praja Paksha,55.0,0.0,10330000.0,1600000.0,Secondary Education,"Has completed 8th standard in M. B. H. S govt School, Bidar in 1979",Bidar,Social Service,Not Given,Social Work / Activism,Cound't Classify
38,Devadurga,A Rajashekar Nayak,INC,48.0,0.0,57472154.0,3036167.0,Graduates,"BA ,Govt .F.G College ,Manvi Gulbarga University 1994",Raichur,Agriculturist and Business,Agriculturist and Homemaker,"Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
39,Mulbagal,A Rajesh,IND,27.0,0.0,2900000.0,,Graduates,Government 1st Grade College Bangalore University 2008,Kolar,Agriculture,Household work,Agriculture / Farming,Not Given
40,Gulbarga Uttar,Abdul Hameed Dabur,Akhil Bharatiya Muslim League (Secular),68.0,0.0,6485000.0,,Higher Secondary Education,"PUC From S.B Pre-University College,Gulbarga,Year-1967",Gulbarga,Business,Home Maker,Business / Entrepreneurship,Not Given
41,Byndoor,Abdul Hajeed,All India Mahila Empowerment Party,36.0,0.0,353500.0,40000.0,Primary Education,7th Survodaya anudanitha high school gulvadi-2001-02,Udupi,Fisher man,Not Given,Agriculture / Farming,Cound't Classify
42,Bijapur City,Abdul Hameed Khajasab Mushrif,INC,53.0,0.0,34419381.0,,Secondary Education,SSLC from Anjuman junior college Bijapur in 1986,Bijapur,Agriculture and work,house wife,"Agriculture / Farming, Cound't Classify",Not Given
43,Narasimharaja,Abdul Azeez,JD(S),53.0,0.0,54512521.0,35960172.0,Literate,"8th Standard Incomplete, Primary and Middle School-Sharadavilas School, Hale Gujari, Mysore(1970-77) and High School in Vidyavardhaka High School, Mysore(1977-78).",Mysore,Business(silk and Handicrafts),Business Partners,Business / Entrepreneurship,Business / Entrepreneurship
44,Harapanahalli,Abdul Bhari,Janahitha Paksha,41.0,0.0,1780000.0,1600000.0,Secondary Education,"10th standarad in Davangere Mllath School,1998(35 ).",Davangere,Journalist,No,Media / Journalism,Cound't Classify
45,Puttur,Abdul Majeed Kolpe,JD(U),42.0,0.0,10747000.0,1672800.0,Graduates,BA FROM GOVERNMENT DEGREE COLLEGE UPPINANGADI 1999,Dakshina Kannada,BUSINESS,House Wife,Business / Entrepreneurship,Cound't Classify
46,Puttur,Abdul Baseer Boodiyar,IND,38.0,0.0,1543388.0,575000.0,Secondary Education,8TH FROM ST PHILOMENAS HIGH SCHOOL PUTTUR,Dakshina Kannada,SOCIAL WORKER,House Wife,Social Work / Activism,Cound't Classify
47,Byatarayanapura,Abdul Khadeer,IND,51.0,0.0,282000.0,,Primary Education,"7th std,Hobli",Bangalore Urban,Business,Housewife,Business / Entrepreneurship,Education / Academia
48,Bommanahalli,Abdul Kadir Gsy,IND,38.0,0.0,726000.0,,Secondary Education,"SSLC From Govt High School, Madiwala, Bangalore in 1994-1995,",B.B.M.P(South),Social Work,House Wife,Social Work / Activism,Cound't Classify
49,Narasimharaja,Abdul Majeed K.H,SDPI,50.0,1.0,14178439.0,,Graduates,"B.Com First Grade College,Kushalanagara,1991",Mysore,"Contractor,Agriculture",Housewife,Agriculture / Farming,Education / Academia
50,Mangalore City North,Abdul Muneer Alias Muneer Katipalla,CPI(M),43.0,1.0,736718.0,,Literate,"8th Pass From Vidyadaini School, Soorathkal, Mangaluru, Year-1987-88",Dakshina Kannada,CPI Party Worker,House Wife,"Politics / Public Service, Social Work / Activism",Cound't Classify
51,Kapu,Abdul Rahiman,All India Mahila Empowerment Party,34.0,0.0,333000.0,2037000.0,Unknown,Unknown,Udupi,BUSINESS,HOUSEWIFE,Business / Entrepreneurship,Not Given
52,Bhatkal,Abdul Rahiman,IND,58.0,0.0,6666000.0,2050000.0,Primary Education,"7th Class,Higher Primary,School,Hiramat,kasargod Honavar.Year-1979",Uttara Kannada,Fishery,Not Given,Agriculture / Farming,Cound't Classify
53,Devar Hippargi,Abdul Rahiman Dundasi,IND,48.0,2.0,23703000.0,90000.0,Graduates,"BA LLB From Anjuan Law College Vijayapur, Karnataka Univeristy Dharwad",Bijapur,Advocate,Housewife,Law / Judiciary,Education / Academia
54,Moodabidri,Abdul Rehiman,All India Mahila Empowerment Party,51.0,0.0,7281287.0,200000.0,Secondary Education,"9th Pass from Govt. High School, Nursh Ground , Bantwal",Dakshina Kannada,Street Business,Not Given,Business / Entrepreneurship,Cound't Classify
55,Sirsi,Abdul Razak Shaikh,All India Mahila Empowerment Party,52.0,0.0,13355857.0,,Secondary Education,"10th Pass From M.E.C.Saroja Maruti Telanga and Maruti Telanga High School, Sirsi Year 1994",Uttara Kannada,Agriculture and Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
56,Honnali,Abdul Rahaman,All India Mahila Empowerment Party,36.0,2.0,655000.0,149502.0,Literate,"PUC Failed,Govt Pre University College,Harapanahalli",Davangere,Grocery Business,Housewife,Business / Entrepreneurship,Education / Academia
57,Bidar,Abdul Razak,IND,42.0,0.0,2550000.0,,Unknown,Unknown,Bidar,Agriculture,Housewife,Agriculture / Farming,Education / Academia
58,Gulbarga Uttar,Abdul Baseer,IND,48.0,0.0,310000.0,,Secondary Education,High School,Gulbarga,Institute,Assistant Teacher,Education / Academia,Education / Academia
59,Karkal,Abdul Aziz,IND,52.0,0.0,558621.0,150000.0,Primary Education,Primary education -belthangdi,Udupi,Small business,House wife,Business / Entrepreneurship,Not Given
60,Belgaum Dakshin,Abhayakumar Patil,BJP,48.0,5.0,95773303.0,,Secondary Education,"SSLC Passed from Govt. Chintamanrao Jr. College, Shahapur Belgaum in 1985, National Trade Certificate Secured from Bharatesh ITI College, Belgaum Year 1988",Belgaum,Agriculture and Social Work,House wife,"Agriculture / Farming, Social Work / Activism",Not Given
61,Chamrajpet,Abdulla,IND,58.0,0.0,8339000.0,,Secondary Education,SSLC (SSLC Board) Bangalore,B.B.M.P(Central),Press,House Wife,Media / Journalism,Cound't Classify
62,Shanti Nagar,Abraham Yates,IND,42.0,0.0,8960000.0,,Secondary Education,"10th, Std. Mount Hermon, Rajajinagar, Bangalore-1991-92",B.B.M.P(Central),Self Business,Not Given,Business / Entrepreneurship,Cound't Classify
63,Hunsur,Adagooru H Vishwanath,JD(S),68.0,1.0,30794325.0,200000.0,Graduates,BSC JSS Colleage 1971 LLB SHARAD VILAS COLLEAGE MYSORE UNIVERSITY 1975,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
64,Hubli-Dharwad Central,Abhaykumar Havalad,IND,29.0,0.0,751791.0,381118.0,Graduates,"B.Com, G.G.College Of Commerce,Vidhyasagar Hubli,Year-2007-10;1st and 2nd PUC-G.G.College Of Commerce,Vidhyasagar Hubli,Year-2005-07",Dharwad,Social service,Bank Job,Social Work / Activism,Banking / Finance
65,Gadag,Abdulkhadarsab A,IND,40.0,0.0,730418.0,,Secondary Education,Sri SharanaBasaweshwara High School Year 1996-97,Gadag,DAILY WAGES AND Social worker,House Wife,"Unknown, Social Work / Activism",Cound't Classify
66,Indi,Abujar Kashimsab Thamatager,IND,55.0,0.0,200000.0,,Secondary Education,SSLC FROM ANJUNA HIGH SCHOOL INDI,Bijapur,Labour,House wife,Cound't Classify,Not Given
67,Malleshwaram,Aditya .R .A,IND,34.0,0.0,11357456.0,400000.0,Postgraduates,PGDBA From Symbiosis Center for Distance Education 2013,B.B.M.P(North),IT Employee,Not Given,Information Technology,Cound't Classify
68,Aland,Afzal Ansari,All India Mahila Empowerment Party,47.0,0.0,19640000.0,1600000.0,Diploma Holders,D.Pharmacy Year-1993,Gulbarga,Agriculture,Housewife,Agriculture / Farming,Education / Academia
69,Bidar South,Abraham T J,IND,57.0,2.0,70089635.0,658000.0,Graduates,"B.Com. Course from R.C College ,Bengaluru",Bidar,Director of M s.Alpha Holding infrastucture Solution Ltd,Housewife,Business / Entrepreneurship,Education / Academia
70,Davanagere South,Ahamed Kabeer Ali,IND,39.0,0.0,1125000.0,,Secondary Education,"SSLC High School, Bashanagar Main Road, Davangere",Davangere,Auto Consulting,House Wife,Consulting / Advisory,Cound't Classify
71,Jagalur,Ajjappa.T,CPI(ML)(L),37.0,0.0,11932.0,25000.0,Secondary Education,SSLC Shri Ujjina Jagadguru high School Karnataka High School Educational Board April 2007,Davangere,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
72,Belgaum Uttar,Ahmar Abdulsattar Gove,All India Mahila Empowerment Party,33.0,3.0,10000.0,,Secondary Education,SSLC from Islamia High School,Belgaum,Mobile Technician,Not Given,Information Technology,Cound't Classify
73,Hagaribommanahalli,Ajjaiah.H,All India Mahila Empowerment Party,47.0,0.0,454500.0,1395000.0,Graduates,"BA, LLB HCBPD COLLEGE JAGALUR 1995-96",Bellary,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
74,Sirsi,Ajjibal Ramanand,IND,43.0,0.0,4857097.0,1968410.0,Primary Education,"9 th Std , Sri Marikamba Govt. College,Sirsi . Year-1993",Uttara Kannada,Agriculture Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
75,Jevargi,Ajay Singh,INC,44.0,1.0,411449731.0,246263480.0,Postgraduates,"MBBS from M S Ramaiah Medical College, Bangalore Year 1993 to 1998",Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship
76,Varuna,Abhishek S Manegar,JD(S),37.0,0.0,69014080.0,580000.0,Diploma Holders,"BE-2003(IS),Mtech-2007(Software)",Mysore,Agriculture and Social Service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia
77,Chickpet,Afsar Khan. R.K,All India Mahila Empowerment Party,48.0,0.0,5280000.0,85000.0,Secondary Education,"SSLC From Government High School, Thali Tamilnadu",B.B.M.P(Central),Hotel Business,House Wife,Hospitality / Tourism,Cound't Classify
