,constituency,name,cases,assets,liabilities,education,self_profession,spouse_profession,self_profession_category,spouse_profession_category,district,gender,age,party,const_category,total_electors,total_const_votes,votes,candidate_voteshare_percent,uuid,Year,education_category
0,Badami,Chimmanakatti Balappa Bhimappa,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Bagalkot,M,62,INC,GEN,196662,139071,57446,41.31,DxnzLbrc,2013,Unknown
1,Dasarahalli,S Muniraju,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Bangalore Urban,M,55,BJP,GEN,344606,191258,57562,30.1,BsNzRJhj,2013,Unknown
2,Gurmitkal,Baburao Chinchanasoor,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Yadgir,M,62,INC,GEN,203045,129030,36051,27.94,TfFiGYuj,2013,Unknown
3,Heggadadevankote,Chikkamadu S,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Mysore,M,62,JD(S),ST,192784,148917,48606,32.64,fGTDCga6,2013,Unknown
4,Jagalur,H.P.Rajesh,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Davangere,M,47,INC,ST,167330,132149,77805,58.88,F2TyAfMJ,2013,Unknown
5,Kanakagiri,Shivaraj Sangappa Tangadagi,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Koppal,M,42,INC,SC,183620,135446,49451,36.51,FGCr8HNW,2013,Unknown
6,Kundgol,Channabasappa Satyappa Shivalli,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Dharwad,M,51,INC,GEN,168831,129517,52690,40.68,byQevoCY,2013,Unknown
7,Lingsugur,Manappa D.Vajjal,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Raichur,M,52,JD(S),SC,197870,129580,31737,24.49,L3XCzM4e,2013,Unknown
8,Maski,Pratapgowda Patil,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Raichur,M,58,INC,ST,164884,105728,45552,43.08,cinStYhX,2013,Unknown
9,Melukote,K.S.Puttannaiah,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Mandya,M,63,SKP,GEN,191395,160892,80041,49.75,fStoShay,2013,Unknown
10,Mudigere,B.B. Ningaiah,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Chikmagalur,M,54,JD(S),SC,152759,110237,32417,29.41,74TyXKbc,2013,Unknown
11,Nagthan,Raju Alagur,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Bijapur,M,52,INC,SC,225624,140024,45570,32.54,UQtnGhi3,2013,Unknown
12,Pavagada,K.M.Thimmarayappa,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Tumkur,M,55,JD(S),SC,186168,145380,68686,47.25,Z2hSKzNv,2013,Unknown
13,Raichur,Dr. Shivaraj Patil S.,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Raichur,M,42,JD(S),GEN,184986,99286,45263,45.59,gMrxCVnh,2013,Unknown
14,Shorapur,Raja Venkatappa Nayak,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Yadgir,M,56,INC,ST,220310,146207,65033,44.48,f4QDxLjG,2013,Unknown
15,Shrirangapattana,A.B. Ramesha Bandisiddegowda,,,,Not Available,Not Available,Not Available,Cound't Classify,Cound't Classify,Mandya,M,47,JD(S),GEN,195314,157807,55204,34.98,mHus3wjF,2013,Unknown
16,Mahadevapura,A C Srinivas,1.0,883989816.0,99073215.0,Bcom,Agriculture,Land Consultent,Agriculture / Farming,Consulting / Advisory,Bangalore Urban,M,46,INC,SC,368393,226749,104095,45.91,3JJGriGQ,2013,Graduate
17,Humnabad,Ankush Lingappa Chitta,0.0,3656000.0,400000.0,PUC govt boys college 1993,"Agriculture , Business, social worker",House wife,"Agriculture / Farming, Business / Entrepreneurship, Social Work / Activism",Not Given,Bidar,M,42,BSP,GEN,206145,136013,8093,5.95,W5uEQz6o,2013,Higher Secondary Education
18,Chamundeshwari,K. Govinda Raju,0.0,1536195.0,,"B Sc , MAHARAJA COLLEGE, MYSORE-1987","SOCIAL WORKER ,SMALL BUSINESS","SOCIAL WORKER, HOUSE WIFE","Social Work / Activism, Business / Entrepreneurship",Social Work / Activism,Mysore,M,48,SAJP,GEN,239448,176962,513,0.29,2euYsbmB,2013,Graduate
19,Yellapur,Umakanth S Kshatriya,0.0,1165000.0,420520.0,"7TH STANDARD,HIGER PRIMARY SCHOOL VADALA TALUK SIRISI",AGRICULTURE LABOUR,HOUSE WIFE,Agriculture / Farming,Not Given,Uttara Kannada,M,38,IND,GEN,151753,120745,489,0.4,6AZsFeeF,2013,Primary Education
20,Chamarajanagar,1 R.P.Nanjundaswamy,2.0,150000.0,100000.0,"P.U.C, T.C.H Sri Ramachandra Educational trust, Chamarajanagara District, 2001-2002",Farmer,House wife,Agriculture / Farming,Not Given,Chamarajnagar,M,34,BSP,GEN,186873,146760,9278,6.32,3apyPnqx,2013,Higher Secondary Education
21,Yellapur,Patanakar Ganesh,0.0,3170300.0,32980.0,MAHATMA GANDHI HIGH SCHOOL PALA IN 1983,AGRICULTURE,HOUSE WIFE,Agriculture / Farming,Not Given,Uttara Kannada,M,32,IND,GEN,151753,120745,343,0.28,8nscfPC2,2013,Secondary Education
22,Gubbi,A R Srinivasamurthy,0.0,1080000.0,435000.0,APRIL 1991,FARMER,HOUSE WIFE,Agriculture / Farming,Not Given,Tumkur,M,37,IND,GEN,167885,139659,669,0.48,SZeTjyDU,2013,Unknown
23,Dasarahalli,A Anthoni,0.0,229000.0,,S.S.L.C.,Building Painter,Housewife,Arts / Entertainment,Education / Academia,Bangalore Urban,M,37,IND,GEN,344606,191258,171,0.09,N752Rggd,2013,Secondary Education
