,constituency,name,cases,assets,liabilities,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category,uuid,Year,education_category
0,Gundlupet,A G Ramachandra Rao,0.0,5805000.0,1500000.0,"B.A FROM BANMAHHIA COLLEGE ,MYSORE,MYSORE UNIVERSITY",Chamarajnagar,BUSINESS,Not Given,Business / Entrepreneurship,Cound't Classify,61.0,M,AIMEP,857,0.4685569321275875,GEN,fTkR8U7K,2018,Graduate
1,Mahadevapura,A C Srinivasa,0.0,1048951850.0,333799627.0,B.com VV puram college,Bangalore Urban,"land development ,support for agriculturist and school",land development and land consultant,Agriculture / Farming,"Construction / Real Estate, Consulting / Advisory",51.0,M,INC,123898,43.57205154175107,SC,5txUySrW,2018,Graduate
2,Gubbi,A B Ajaz Pasha,0.0,2100000.0,100000.0,B.Sc From Bangalore University. 1999-2000,Tumkur,Private Teacher,House Wife,Education / Academia,Cound't Classify,39.0,M,IND,265,0.1705057264187363,GEN,7Dg5dhja,2018,Graduate
3,Holalkere,A Basavarajappa,0.0,50000.0,,MA in Kannada,Chitradurga,Retired Principal,Homemaker,Education / Academia,Not Given,71.0,M,IND,139,0.0737455301720021,SC,e6UDDKGv,2018,Postgraduate
4,Jagalur,A L Pushpa,0.0,11890260.0,3900000.0,MA ENGLISH,Davangere,Social Service,GOVT EMPLOYEE,Social Work / Activism,Unknown,45.0,F,IND,1856,1.2512218963831867,ST,nz3Hqgg3,2018,Postgraduate
5,Lingsugur,A Balaswamy Kodli,2.0,12814500.0,2100000.0,BA gulbarga university in 1994,Raichur,Agriculture Social service,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia,55.0,M,IND,2056,1.252520575818311,SC,CyLCAZLY,2018,Graduate
6,Channapatna,A Krishna,0.0,6165000.0,,"S.S.L.C Public High School, Mathikere-Shettahalli, Channapatana Taluk",Ramanagaram,Agriculture and Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,52.0,M,IND,50,0.0264532069222751,GEN,azB8aX7X,2018,Secondary Education
7,Kolar,A Ananda Kumar,0.0,97000.0,,"SSLC -St. Mary's School, ITI From Nuri ITI K.G.F",Kolar,Wage Work,Private Teacher,Not Given,Education / Academia,50.0,M,RMVP,516,0.2881039854384652,GEN,b5TaCUc3,2018,Vocational Training
8,Shrirangapattana,A B Ramesha Bandisiddegowda,1.0,27294828.0,,"Diploma in Electronics and Telecommunication in D.Banumaiah college,Mysore ,batch 1989-90",Mandya,Agriculturist,Housewife and Job employee,Agriculture / Farming,Not Given,51.0,M,INC,57619,32.61668223373242,GEN,jwAGwhj6,2018,Diploma Holder
9,Mahadevapura,A Lakshmaiah,0.0,8294237.0,6000.0,6th,Bangalore Urban,Agriculture,Housewife,Agriculture / Farming,Education / Academia,63.0,M,IND,278,0.0977661489984244,SC,jNaihsH3,2018,Primary Education
10,Madikeri,A Mohammed Haneef,0.0,1521000.0,3500000.0,GOVT PRIMARY SCHOOL SIDAPURA KODAGU 1995,Kodagu,HOTEL AND CHIKAN CENTER,Not Given,"Hospitality / Tourism, Not Given",Cound't Classify,34.0,M,IND,1005,0.5930673087136635,GEN,XirVsWCW,2018,Primary Education
11,Yelahanka,A M Hanumanthegowda,0.0,226246097.0,33412580.0,"Completed in 8th- 10th standard in Kengeri Junior College, Kengeri, Bengaluru-60(1987-1990) and PUC in Govt. Arts College, Kalasipalya, V.V. Puram, Bengaluru-4(1990-1993).",Bangalore Urban,A. P. M. C. Director and Business,Zilla Panchayat Member and Housewife,"Business / Entrepreneurship, Social Work / Activism",Social Work / Activism,43.0,M,JD(S),77607,31.658881840618434,GEN,hYfUcRvY,2018,Higher Secondary Education
