,constituency,name,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,age,gender,party,votes,percent_votes,constituency_category
0,Afzalpur,M Y Patil,0,21458944,4584591,Graduates,"B.A FROM KARNATAKA UNIVERSITY, DHARWARD YEAR 1964",Gulbarga,AGRICULTURAL AND SOCIAL WORK,HOUSEHOLD DUTIES,"Agriculture / Farming, Social Work / Activism",Not Given,77,M,INC,71735,47.916611002752,GEN
1,Afzalpur,Malikayya Guttedar,0,63697748,1000000,Graduates,B.Come From S.B. College Kalaburagi In 1979,Gulbarga,Social Works,House Wife,Social Work / Activism,Cound't Classify,63,M,BJP,61141,40.8401688620514,GEN
2,Afzalpur,Raju Gouda Revoor Alias Rajendra Kumar,0,181988055,32223665,Graduates,B.Sc from Karnataka University Dharwad in 1985,Gulbarga,Agriculture Business,Agriculture Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",57,M,JD(S),13340,8.91067945600769,GEN
3,Afzalpur,NOTA,,,,,,,,,,,,,NOTA,1243,0.830282950810911,GEN
4,Afzalpur,Raju Ramachandra Heroor,0,38700,,Secondary Education,7th Pass,Gulbarga,Wages,House Wife,Cound't Classify,Cound't Classify,41,M,AIMEP,596,0.398108317524781,GEN
5,Afzalpur,Digambar,0,41000,,Secondary Education,"SSLC, From PKH High Shool, Devala Ganagapura, Taluk Afzalpura, Dist Kalaburgi",Gulbarga,Wage,Housewife,Unknown,Education / Academia,40,M,IND,590,0.394100515670505,GEN
6,Afzalpur,Wali Mallappa,0,2520000,530000,Higher Secondary Education,2nd PUC In the Year 2005 PU Board Bangalore.,Gulbarga,Agriculture and Social Work,Housewife,"Agriculture / Farming, Social Work / Activism",Education / Academia,31,M,IND,564,0.376733374301974,GEN
7,Afzalpur,K M Barma,0,175000,,Postgraduates,"BA., LLB From SSL Law College, Gulbarga University, Year-1999",Gulbarga,Advocate,House Hold,Law / Judiciary,Cound't Classify,48,M,DRAPP,499,0.333315520880647,GEN
8,Aland,Subhash,0,64654717,13984756,Secondary Education,"S S L C from S V V High School, Tadkal",Gulbarga,Social Worker Agriculture,Business,"Social Work / Activism, Agriculture / Farming",Business / Entrepreneurship,66,M,BJP,76815,47.82733221675,GEN
9,Aland,B R Patil,,,,,,,,,,,68,M,INC,76118,47.3933590272027,GEN
10,Aland,Arunkumar.C.Patil,1,23293000,4900000,Postgraduates,"Master of Business Administration From Institute of Management, Kolhapur, affiliated to Shivaji University, Kolhapur, Year-1997",Gulbarga,"Manging Director of CADMAXX SOLUTIONS PVT LTD Benglore, President of Kayakayogi Co Operative Society Benglore",Seniour Design Maneger HAL Banglore,"Engineering / Technology, Social Work / Activism",Engineering / Technology,46,M,JD(U),2213,1.37788044256548,GEN
11,Aland,Bhojraj,1,82599526,16860560,Postgraduates,"BA,Bachelor Of Law,Karnataka University,Dharward,1974-75",Gulbarga,Social Service,Housewife,Social Work / Activism,Education / Academia,,,NOTA,1445,0.899700514915104,GEN
12,Aland,Suryakant K Koralli,,,,,,,,,,,55,M,JD(S),1387,0.863587968295674,GEN
13,Aland,Swami Shivayya,0,405000,100000,Higher Secondary Education,"PUC From Govt.PU College, Aland",Gulbarga,Agriculture,House wife,Agriculture / Farming,Not Given,48,M,IND,808,0.503085132215504,GEN
14,Aland,Ratnappa Ramchandrappa,0,2060000,50000,Higher Secondary Education,2 nd PUC,Gulbarga,Agriculture,Housewife,Agriculture / Farming,Education / Academia,46,M,IND,393,0.244693634852343,GEN
15,Aland,Afzal Ansari,0,19640000,1600000,Diploma Holders,D.Pharmacy Year-1993,Gulbarga,Agriculture,Housewife,Agriculture / Farming,Education / Academia,47,M,AIMEP,390,0.242825744509958,GEN
16,Aland,Sharanappa Bhimsha Zalake,0,2220000,176000,Higher Secondary Education,"BA ,2 nd Year , Fail . Year-1992. From-Bashumiya Sahukar College,Manvi.",Gulbarga,Agriculturist,Not Given,Agriculture / Farming,Cound't Classify,49,M,BJC,388,0.241580484281702,GEN
17,Aland,Kushal Chattru Rathod,0,49000,51000,Secondary Education,8TH PASS FROM SHANTHINIKETAN HIGH SCHOOL NEW RAGHAVENDRA COLONY KALBURGI,Gulbarga,SOCIAL WORKER,House Wife,Social Work / Activism,Cound't Classify,45,M,NDEP,344,0.214184759260066,GEN
18,Aland,Ansari Jaheer,0,165000,,Graduates,BCOM 2ND SEM,Gulbarga,T.V.MECANIC,Not Given,Engineering / Technology,Cound't Classify,41,M,IND,199,0.123903392711491,GEN
19,Aland,D K Konkate Kerror,,,,,,,,,,,41,M,RSPS,109,0.0678666824399629,GEN
20,Anekal,B.Shivanna,0,210137849,,Postgraduates,"M.Sc. from Bangalore University Year 1992, LLB from Islamia Law College, Bangalore Year 1995",Bangalore Urban,Agriculturist,House wife,Agriculture / Farming,Not Given,50,M,INC,113894,50.0243766388348,SC
21,Anekal,A.Narayanaswamy,0,70435665,100000,Graduates,BA GOVERNMENT ARTS COLLEGE BANGALORE IN 1982,Bangalore Urban,REAL ESTATE AND SOCIAL WORKER,REAL ESTATE AND House Wife,"Construction / Real Estate, Social Work / Activism",Construction / Real Estate,60,M,BJP,105267,46.2352367608498,SC
22,Anekal,A.Narayanaswamy,0,20000,,Unknown,Unknown,Bangalore Urban,Business and Auto Driver,Housewife,"Business / Entrepreneurship, Transportation / Logistics",Education / Academia,60,M,BJP,105267,46.2352367608498,SC
23,Anekal,G. Srinivas,0,120000,400000,Doctorates,"MA,Mphil ,PHD",Bangalore Urban,Lecturer,housewife,Education / Academia,Not Given,38,M,BSP,2932,1.28778928042797,SC
24,Anekal,NOTA,,,,,,,,,,,,,NOTA,2115,0.928947588030411,SC
25,Anekal,D.Mahadesh,0,8138350,,Secondary Education,"10 th govt school ,madanagondanahalli.tamilnadu,1987",Bangalore Urban,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,44,M,CPM,1425,0.625886672786447,SC
26,Anekal,Munikrishnappa,0,2499360,5500,Secondary Education,4th Standard,Bangalore Urban,Artist,House wife,Arts / Entertainment,Not Given,41,M,AIMEP,481,0.211264203235285,SC
27,Anekal,C.Narayanaswamy,0,10565000,2600000,Unknown,april 1993,Bangalore Urban,salesman,agriculturist,Business / Entrepreneurship,Agriculture / Farming,48,M,IND,436,0.191499360936765,SC
28,Anekal,Manjunath V,,,,,,,,,,,37,M,IND,247,0.108487023282984,SC
29,Anekal,A.Narayanaswamy,0,70435665,100000,Graduates,BA GOVERNMENT ARTS COLLEGE BANGALORE IN 1982,Bangalore Urban,REAL ESTATE AND SOCIAL WORKER,REAL ESTATE AND House Wife,"Construction / Real Estate, Social Work / Activism",Construction / Real Estate,41,M,IND,229,0.100581086363576,SC
30,Anekal,A.Narayanaswamy,0,20000,,Unknown,Unknown,Bangalore Urban,Business and Auto Driver,Housewife,"Business / Entrepreneurship, Transportation / Logistics",Education / Academia,41,M,IND,229,0.100581086363576,SC
31,Anekal,M.Muniyallamma,0,7060000,,Secondary Education,"Has Completed SSLC in A. S. B School Anekal, Bengaluru, Karnataka",Bangalore Urban,Agriculturist,Not Given,Agriculture / Farming,Cound't Classify,47,F,RPSN,216,0.094871243032893,SC
32,Anekal,Venkateshappa,0,140000,,Unknown,Unknown,Bangalore Urban,social service,House wife,Social Work / Activism,Not Given,51,M,SJPA,178,0.0781809317585878,SC
33,Anekal,Y.Ravindra,0,1298300,,Literate,7th,Bangalore Urban,Agriculture,Labour,Agriculture / Farming,Cound't Classify,35,M,BPJP,132,0.0579768707423235,SC
34,Anekal,Amaresh.Y,0,3030000,,Primary Education,"Vidhaatha School,Bidaragere Road,Anekal Town,Bengaluru Urban Dist.",Bangalore Urban,Own Business,Housewife,Business / Entrepreneurship,Education / Academia,49,M,IND,125,0.0549023397181094,SC
35,Arabhavi,Balachandra Lakshmanarao Jarakiholi,0,193270979,1750000,Higher Secondary Education,"PUC Ist from JSS Art Science Commerce College Gokak in April 1983, SSLC from Karnataka Secondary Education Examination Board, Govt Junior College Gokak in April 1982",Belgaum,Business,Not Applicable,Business / Entrepreneurship,Cound't Classify,51,M,BJP,96144,54.3382918117285,GEN
36,Arabhavi,Bhimappa Gundappa Gadad,0,4750000,1710844,Secondary Education,SSLC,Belgaum,"social work, agricultural",House wife,"Agriculture / Farming, Social Work / Activism",Not Given,58,M,JD(S),48816,27.5896369308676,GEN
37,Arabhavi,Arvind Mahadevrao Dalwai,0,62115393,9775000,Postgraduates,"Has completed 1-7th standard in Govt School, Koujalagi(1973), 8-10th standard in New English School.Gokak(1976), PUC in Junior College, Katakola(1981), B.A in Karnataka University, Dharwad(1985) and M.A in Karnataka University, Dharwad(1989).",Belgaum,Agriculturist,Homemaker,Agriculture / Farming,Not Given,56,M,INC,23253,13.1420400596825,GEN
38,Arabhavi,Chunappa Uddappa Pujeri,3,3864139,120000,Higher Secondary Education,"1st PUC ,From S.R.A.V ,College Kollali . Year-2000-01",Belgaum,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia,34,M,IND,2962,1.6740516344893,GEN
39,Arabhavi,Ashok P Hanaji,0,1650000,50000,Higher Secondary Education,"PUC ,From-N.R Patil Degree College,Kaloloi",Belgaum,Social Worker and Okaluthana,Not Given,Social Work / Activism,Cound't Classify,37,M,SJPA,1745,0.986232309987792,GEN
40,Arabhavi,NOTA,,,,,,,,,,,,,NOTA,1398,0.790116200207984,GEN
41,Arabhavi,Bhimappa Siddappa Naik,0,550000,50000,Graduates,"BA From-G.E.S Gokak,Ambedkar College",Belgaum,Social Worker and Okaluthana,Not Given,Social Work / Activism,Cound't Classify,44,M,IND,1161,0.656169462404485,GEN
42,Arabhavi,Shankargouda Ninganngouda Padesur,0,15235000,10308000,Secondary Education,"S.S.L.C From-Ananda Bharati High School,Hassan .Year-2002",Belgaum,Business,Housewife,Business / Entrepreneurship,Education / Academia,32,M,AIMEP,830,0.469096170366686,GEN
43,Arabhavi,Laxman Basappa Toli,0,2240500,150000,Higher Secondary Education,2ND PUC S K HUKKERI COLLEGE GHATAPRABHA TALUK;GOKAK IN 2006-07,Belgaum,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,30,M,SHS,627,0.354365420264954,GEN
44,Arkalgud,A T Ramaswamy,0,40811816,,Graduates,"B.Sc in Agriculture, Agriculture College, Dharwad ,Agriculture University in 1974",Hassan,Agriculture and Ex-MLA,"Agriculture,Poultry farm,Horticulture,","Agriculture / Farming, Politics / Public Service",Agriculture / Farming,66,M,JD(S),85064,45.0302799305467,GEN
45,Arkalgud,A Manju,1,223582361,3860107,Postgraduates,B.A AND LLB AT SJRC COLLEGE BANGALORE IN THE YEAR 1985-86,Hassan,LAWYER,HOUSE WIFE,Law / Judiciary,Not Given,60,M,INC,74411,39.3909075509253,GEN
46,Arkalgud,H. Yogaramesha,1,89420411,10125866,Diploma Holders,"SSLC From Seshadripuram Boys High School Bangalore, Karnataka Secondary Education Examination Board In 1985 Diploma In Mechanical Engineer( Automobile Engineering) From Smt. L.V.(Govt) Polytechnic Hassan, Technical Education Board Bangalore In 1988",Hassan,Agriculturist,"Advocate Profession, Lecturer Business",Agriculture / Farming,"Law / Judiciary, Education / Academia, Business / Entrepreneurship",49,M,BJP,22679,12.0055689662474,GEN
47,Arkalgud,Sheshegowda,0,19160000,10100000,Higher Secondary Education,PUC Holenarsipura tq govt pre university college,Hassan,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,47,M,INCP,3559,1.88402574852835,GEN
48,Arkalgud,NOTA,,,,,,,,,,,,,NOTA,1189,0.629420234616524,GEN
49,Arkalgud,Manjunatha H P,0,2350000,,Primary Education,"Has completed 7th standard in Govt high school, J.Hosahally, Ramnathapura Hobli, Arakalgud Taluk From 1986-1993",Hassan,Agriculturist,Agriculturist,Agriculture / Farming,Agriculture / Farming,48,M,BDBRAJP,1035,0.547897344683013,GEN
50,Arkalgud,H T Sathya,0,13992000,400000,Secondary Education,"SSLC-Boys pre university colleage ,arakalgud -1993",Hassan,Agriculture,House wife,Agriculture / Farming,Not Given,44,M,AIMEP,486,0.257273535764197,GEN
51,Arkalgud,Latha K M,1,192000,215000,Higher Secondary Education,PUC -B M shetty college konanuru -1998-99,Hassan,Social worker own worker,Not Given,Social Work / Activism,Cound't Classify,38,F,RPI(A),481,0.254626688688434,GEN
52,Arsikere,K.M Shivalinge Gowda,0,16800290,500000,Graduates,B A GOVERNMENT ARTS COLLEGE HASSAN MYSORE UNIVERSITY 1980,Hassan,"SOCIAL WORKER,AGRICULTRIST,LAW MAKERS",AGRICULTRIST,"Agriculture / Farming, Social Work / Activism, Law Enforcement / Security",Agriculture / Farming,60,M,JD(S),93986,54.3400459068334,GEN
53,Arsikere,G.B.Shashidhara,0,12080000,1214854,Postgraduates,"B.E(Mechanical),Malnad College of Engineering,Hassan,1994-95",Hassan,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,49,M,INC,50297,29.0803022681676,GEN
