,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
0,Kampli,A Devadas,55,0,1768878.0,,"SSLC Discontinued, Sri Kampilaraya Girijana Hign School, Allipur, Bellary-4 Year 1983-84",ST,Bellary,A Whole time worker of SUCI {C} Agriculturist,A Whole time worker of SUCI {C} retired teacher of Private School,Agriculture / Farming,Unknown,SUCIC,585.0,M,7zUdntvo,2023,Secondary Education
1,Pulakeshinagar,A Chandra Kumar,40,0,110000.0,,"7th Standard from S.L.B. Higher Primary School Champion Heats, K.G.F. in 1985",SC,B.B.M.P(North),Flooring Tile Labour,Not Given,Construction / Real Estate,Cound't Classify,IND,82.0,M,VN9AKZKR,2023,Primary Education
2,Muddebihal,K. B. Dodamani Vakeelaru,40,0,500000.0,40000.0,MA in Kuvempu university distance education-2013,GEN,Bijapur,Private Advocate,House wife,"Law / Judiciary, Consulting / Advisory",Not Given,BSP,725.0,M,drhAnzkb,2023,Postgraduate
3,Pavagada,B T Ramasubbaiah,61,1,120000.0,124000.0,BA,SC,Tumkur,Social Worker,Not Given,Social Work / Activism,Cound't Classify,BBKD,48.0,M,Fe7rxida,2023,Graduate
4,Krishnaraja,T.S. Srivathsa,56,0,4889436.0,135000.0,"B.Com. from Banumaya College New Saiyaji Rao Road, Mysore University in 1987-88",GEN,Mysore,Contractor,Not Given,Consulting / Advisory,Cound't Classify,BJP,73670.0,F,TNrptd58,2023,Graduate
5,Belgaum Dakshin,Hanamanth Mallappa Madivalar Urpa Hulageri,43,0,7982000.0,520000.0,"SSLC ,High School Gadhannakeri Cross (1995-1996)",GEN,Belgaum,Self employment (Brick factory),Housewife,"Business / Entrepreneurship, Military / Defense",Education / Academia,KRS,160.0,F,22w36qWR,2023,Higher Secondary Education
6,Pulakeshinagar,A Murali,52,0,9785900.0,50000.0,"9th Standard, Corporation Boys High School, Pillanna Garden Bangalore",SC,B.B.M.P(North),Social Worker Business,House Wife,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify,BJP,10624.0,M,mS6gDbg7,2023,Secondary Education
7,T.Narasipur,A N Shivalingappa,48,0,67000.0,,"Master Degree In 2006-07 and Ph.D. In 2023 From Mysore University, Gangotri",SC,Mysore,Self Employed,House wife,Business / Entrepreneurship,Not Given,SJPK,261.0,M,ApbxBQwN,2023,Doctorate
8,Pulakeshinagar,A C Srinivasa,56,0,1876783128.0,1112253548.0,"Bcom ,V. V Puram College Bangalore University-1989",SC,B.B.M.P(North),"Land Developers, Agriculturist, Social Worker and Education Sectors","Land Developers, and Land Consultant","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism, Education / Academia","Construction / Real Estate, Consulting / Advisory",INC,87316.0,M,3W4DQvxK,2023,Graduate
9,Kundapura,A Kiran Kumar Kodgi,60,0,199717465.0,,B.Sc,GEN,Udupi,Business,House wife,Business / Entrepreneurship,Not Given,BJP,102424.0,M,DUXD3TDf,2023,Graduate
10,Hagaribommanahalli,A M A Suresh Kumara,48,0,78396411.0,28700000.0,"BAMS from Ayurveda Maha Vidyalaya, Mundaragi, Gadag District in 2022",SC,Bellary,"Doctor, Business",Owner of Priya X-ray,"Medicine / Healthcare, Business / Entrepreneurship",Unknown,IND,945.0,M,DuHX6gUV,2023,Graduate
11,Harapanahalli,A T Dadakhalandar,40,0,42000.0,105000.0,"ITI ,Srinivasa ITI College ,Koturu in 2006",GEN,Davangere,Photographer,Not Given,Arts / Entertainment,Cound't Classify,IND,93.0,M,VDE4kBuL,2023,Vocational Training
12,Mayakonda,A. K. Ganesh,40,0,1063515.0,935000.0,"4 th standard 1988-89, Government Higher primary school, Kariganuru",SC,Davangere,Own General stores,Own Shamiyana Business,Business / Entrepreneurship,Hospitality / Tourism,IND,610.0,M,N6JFDPNM,2023,Primary Education
13,Arkalgud,A. Manju,66,0,373600436.0,40035568.0,"B.A., L.L.B, SJRC College Bangalore 1985-86",GEN,Hassan,Lawyers,Business and House Wife,Law / Judiciary,Business / Entrepreneurship,JD(S),74643.0,M,MeaLCXoF,2023,Graduate
14,Bangalore South,A Ravi Kumar,37,0,1420000.0,553229.0,SSLC SCKHS Channakeshavanagar Bengaluru 2006-07,GEN,Bangalore Urban,Nandini Milk Parlour mineral water Distributor,House wife,Business / Entrepreneurship,Not Given,RPIA,417.0,M,Hkr9mKoe,2023,Higher Secondary Education
15,Rajarajeshwarinagar,A. Kalappa,36,0,188000.0,,"M.A. from Karntaka Open University, Mysyre M.Ed from Dr. B.R. Ambedkar Education College Mahalaxkipurn Bengaluru In 2018",GEN,B.B.M.P(Central),Guest Lecturer,Housewife,Education / Academia,Education / Academia,IND,129.0,M,chtJhs2g,2023,Postgraduate
