,name,age,gender,party,votes,percent_votes,constituency,constituency_category
0,Jolle Shashikala Annasaheb,49,F,BJP,87006,50.51117264921539,Nippani,GEN
1,Kakaso Pandurang Patil,63,M,INC,78500,45.57303005497792,Nippani,GEN
2,Kamat Ramesh Ishwar,53,M,BSP,2476,1.4374372282308956,Nippani,GEN
3,NOTA,,,NOTA,1447,0.8400531782108667,Nippani,GEN
4,Rohini Shrimant Dixit,35,F,AIMEP,1353,0.7854816517756066,Nippani,GEN
5,Sharad Ramagowda Patil,46,M,IND,525,0.3047877806224637,Nippani,GEN
6,Jayaram Parasharam Mirajakarkaka,58,M,IND,270,0.1567480014629813,Nippani,GEN
7,Sambhaji Bapuso Thoravat,43,M,IND,266,0.1544258088487149,Nippani,GEN
8,Vijaylakshmi Appasaheb Kurane,33,F,BRPP,165,0.0957904453384886,Nippani,GEN
9,Sachin Kallappa Madhale,30,M,BMUP,133,0.0772129044243574,Nippani,GEN
10,Anil Shivaji Kamate,43,M,IND,110,0.0638602968923257,Nippani,GEN
11,Ganesh Prakash Hukkeri,40,M,INC,91467,51.0415678483937,Chikkodi-Sadalga,GEN
12,Annasaheb Shankar Jolle,55,M,BJP,80898,45.14372129619813,Chikkodi-Sadalga,GEN
13,Sadashivappa Maruti Walke,64,M,BSP,2935,1.6378256817763297,Chikkodi-Sadalga,GEN
14,NOTA,,,NOTA,1363,0.7605984341605236,Chikkodi-Sadalga,GEN
15,Annapurna Channappa Asurkar,42,F,AIMEP,794,0.4430778846100189,Chikkodi-Sadalga,GEN
16,Somanath Gangayya Hiremath,30,M,IND,734,0.4095959285941484,Chikkodi-Sadalga,GEN
17,Sunil Annasab K.Khot,41,M,IND,282,0.1573651932745911,Chikkodi-Sadalga,GEN
18,Mohan Gurappa Motannavar,43,M,IND,244,0.1361599544645398,Chikkodi-Sadalga,GEN
19,Appasaheb Shripati Kurane,35,M,BRPP,198,0.1104904548523724,Chikkodi-Sadalga,GEN
20,Dada Vasant Patil,39,M,IND,147,0.0820307922388826,Chikkodi-Sadalga,GEN
