,constituency,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,name,age,gender,party,votes,percent_votes,constituency_category,total_electors,voter_turnout,const_num
0,Shrirangapattana,0,6895000,1600000,Graduates,"BA year 1990-91 P.E.S College ,Mandya",Mandya,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia,Ravindra Srikantaiah,46,M,JD(S),101307,57.3473719962639,GEN,208945,176655.0,190
1,Hunsur,1,30794325,200000,Graduates,BSC JSS Colleage 1971 LLB SHARAD VILAS COLLEAGE MYSORE UNIVERSITY 1975,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,Adaguru H Vishwanath,68,M,BJP,92725,,GEN,224619,186228.0,212
2,Magadi,2,79436194,50712919,Graduates,B.B.M- Rerukachrya College Bangalore Vishvavidyalaya yr 1993-94,Ramanagaram,Agriculture Ex-ZP Member,Business,"Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship,A. Manjunath,45,M,JD(S),119492,61.5246784541082,GEN,224869,194218.0,182
3,Belgaum Dakshin,5,95773303,,Secondary Education,"SSLC Passed from Govt. Chintamanrao Jr. College, Shahapur Belgaum in 1985, National Trade Certificate Secured from Bharatesh ITI College, Belgaum Year 1988",Belgaum,Agriculture and Social Work,House wife,"Agriculture / Farming, Social Work / Activism",Not Given,Abhay Patil,48,M,BJP,84498,57.5932931193129,GEN,234896,146715.0,12
4,Heggadadevankote,0,26416899,29829291,Secondary Education,"S.S.L.C From Talent High School, Rajappa Building, Gokul Road, Hunasuru Town, Year 2005",Mysore,Agriculture,Bank Job,Agriculture / Farming,Banking / Finance,Anil Kumar C,29,M,INC,76652,44.811841943725,ST,214900,171053.0,213
5,Sullia,0,10993945,1240103,Secondary Education,8TH PASS FROM CHIKKODI HIGH SCHOOL DATE 26-08-1981,Dakshina Kannada,AGRICULTURIST AND SOCIAL SERVICE,HOUSE WIFE,"Agriculture / Farming, Social Work / Activism",Not Given,Angara.S,54,M,BJP,95205,56.5310072916419,SC,198823,168412.0,207
6,Kushtagi,0,15501971,1944066,Graduates,"BA Degree S.V.M College ,Illakal Karanataka In year 1980",Koppal,Agriculturalist,Housewife,Agriculture / Farming,Education / Academia,Amaregouda Linganagouda Patil Bayyapur,64,M,INC,87566,52.7334481554193,GEN,224827,166054.0,60
7,Muddebihal,0,763437525,180347051,Postgraduates,M Sc. in biology -1994,Bijapur,Business,Housewife,Business / Entrepreneurship,Education / Academia,Ameenappa Gouda S Patil (Nadahalli),49,M,BJP,63512,45.7585844176429,GEN,205694,138798.0,26
8,Arkalgud,0,40811816,,Graduates,"B.Sc in Agriculture, Agriculture College, Dharwad ,Agriculture University in 1974",Hassan,Agriculture and Ex-MLA,"Agriculture,Poultry farm,Horticulture,","Agriculture / Farming, Politics / Public Service",Agriculture / Farming,A. T. Ramaswamy,66,M,JD(S),85064,45.0302799305467,GEN,215604,188904.0,198
9,Jevargi,1,411449731,246263480,Postgraduates,"MBBS from M S Ramaiah Medical College, Bangalore Year 1993 to 1998",Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship,Ajay Dharam Singh,44,M,INC,68508,42.3552978126198,GEN,234403,161746.0,35
