,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,votes,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters,const_num,turnout
0,Gulbarga Dakshin,Allamprabhu Patil,INC,67.0,0.0,68462021.0,10738899.0,Graduates,BA from SB Collge of Arts Kalaburagi in 1978-79,GEN,Gulbarga,"Social Service, Agriculture Business",Agriculture Business,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",87345,M,0,40870,40512,16,81398,44,159567
1,Pulakeshinagar,A C Srinivasa,INC,56.0,0.0,1876783128.0,1112253548.0,Graduates,"Bcom ,V. V Puram College Bangalore University-1989",SC,B.B.M.P(North),"Land Developers, Agriculturist, Social Worker and Education Sectors","Land Developers, and Land Consultant","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism, Education / Academia","Construction / Real Estate, Consulting / Advisory",87316,M,0,120303,118714,38,239055,159,130869
2,Kollegal,A.R.Krishnamurthy,INC,62.0,0.0,45848260.0,,Graduates,"Graduate From Maharaja College, Year-1981-82 Post Graduate Diploma in Journalism From Maneshar Gangotri Mysore, Year-1987-88",SC,Chamarajnagar,Ex-Chairman of Ambedkar development co-op and owner of petrol station,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given,108363,M,0,106979,109604,19,216602,222,167779
3,Kundapura,A Kiran Kumar Kodgi,BJP,60.0,0.0,199717465.0,,Graduates,B.Sc,GEN,Udupi,Business,House wife,Business / Entrepreneurship,Not Given,102424,M,0,100751,108784,2,209537,119,167471
4,Hubli-Dharwad East,Abbayya Prasad,INC,54.0,0.0,59602725.0,16012013.0,Higher Secondary Education,"2nd PUC- P C Jebena Science College, Vidyanagar, Hubli (Department Of Pre-University , Bengaluru) In 1988",SC,Dharwad,Social service,Coaching Classes,Social Work / Activism,Education / Academia,85426,M,1,104226,105290,14,209530,72,148640
5,Krishnaraja,T.S. Srivathsa,BJP,56.0,0.0,4889436.0,135000.0,Graduates,"B.Com. from Banumaya College New Saiyaji Rao Road, Mysore University in 1987-88",GEN,Mysore,Contractor,Not Given,Consulting / Advisory,Cound't Classify,73670,M,0,122442,127886,29,250357,216,150322
6,Virajpet,A.S.Ponnanna,INC,48.0,0.0,303406891.0,46374990.0,Postgraduates,"BA, LLB from University Law College, Bengaluru In 1997",GEN,Kodagu,Senior Advocate,Teacher,Law / Judiciary,Education / Academia,83791,M,0,111284,112855,13,224152,209,167778
7,Arkalgud,A. Manju,JD(S),66.0,0.0,373600436.0,40035568.0,Graduates,"B.A., L.L.B, SJRC College Bangalore 1985-86",GEN,Hassan,Lawyers,Business and House Wife,Law / Judiciary,Business / Entrepreneurship,74643,M,0,116405,111254,4,227663,198,194067
8,Shrirangapattana,A.B. Ramesha Bandisiddegowda,INC,50.0,2.0,159288753.0,19706800.0,Diploma Holders,"Diploma in Electronic and Telecommunication - Final Year D.Banumayya College, Mysore 1989-90",GEN,Mandya,EX-MLS and Agriculture and Business,Business and House wife,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Not Given",72817,M,0,104656,108492,39,213187,190,185194
9,Raybag,Aihole Duryodhan Mahalingappa,BJP,65.0,0.0,147133482.0,10000000.0,Secondary Education,SSLC From Harugeri School Raybag in 1973,SC,Belgaum,Current MLA Agriculture,House Work,"Politics / Public Service, Agriculture / Farming",Cound't Classify,57500,M,1,108127,102369,9,210505,6,165288
10,Belgaum Dakshin,Abhay Patil,BJP,54.0,3.0,98349096.0,2955955.0,Secondary Education,"SSLC From Govt. Chintamanrao Jr. College, Shahapur Belgaum, Year-1985 National Trade Certificate Secured From Bharatesh ITI College, Belgaum, Year-1988",GEN,Belgaum,Agriculture Social Work,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,77094,M,1,124922,123119,11,248052,12,159111
11,Heggadadevankote,Anil Kumar C,INC,34.0,2.0,149443273.0,,Secondary Education,"SSLC- Talent High School Hunsuru, 2005, Mysore District",ST,Mysore,Agriculture and Business,Bank Employee,"Agriculture / Farming, Business / Entrepreneurship",Banking / Finance,84359,M,1,113263,112512,12,225787,213,182371
