,const_num,constituency
0,1,Nippani
1,2,Chikkodi-Sadalga
2,3,Athani
3,4,Kagwad
4,5,Kudachi
5,6,Raybag
6,7,Hukkeri
7,8,Arabhavi
8,9,Gokak
9,10,Yemkanmardi
10,11,Belgaum Uttar
11,12,Belgaum Dakshin
12,13,Belgaum Rural
13,14,Khanapur
14,15,Kittur
15,16,Bailhongal
16,17,Saundatti Yellamma
17,18,Ramdurg
18,19,Mudhol
19,20,Terdal
20,21,Jamkhandi
21,22,Bilgi
22,23,Badami
23,24,Bagalkot
24,25,Hungund
25,26,Muddebihal
26,27,Devar Hippargi
27,28,Basavana Bagevadi
28,29,Babaleshwar
29,30,Bijapur City
30,31,Nagthan
31,32,Indi
32,33,Sindgi
33,34,Afzalpur
34,35,Jevargi
35,36,Shorapur
36,37,Shahapur
37,38,Yadgir
38,39,Gurmitkal
39,40,Chittapur
40,41,Sedam
41,42,Chincholi
42,43,Gulbarga Rural
43,44,Gulbarga Dakshin
44,45,Gulbarga Uttar
45,46,Aland
46,47,Basavakalyan
47,48,Humnabad
48,49,Bidar South
49,50,Bidar
50,51,Bhalki
51,52,Aurad
52,53,Raichur Rural
53,54,Raichur
54,55,Manvi
55,56,Devadurga
56,57,Lingsugur
57,58,Sindhanur
58,59,Maski
59,60,Kushtagi
60,61,Kanakagiri
61,62,Gangawati
62,63,Yelburga
63,64,Koppal
64,65,Shirahatti
65,66,Gadag
66,67,Ron
67,68,Nargund
68,69,Navalgund
69,70,Kundgol
70,71,Dharwad
71,72,Hubli-Dharwad East
72,73,Hubli-Dharwad Central
73,74,Hubli-Dharwad West
74,75,Kalghatgi
75,76,Haliyal
76,77,Karwar
77,78,Kumta
78,79,Bhatkal
79,80,Sirsi
80,81,Yellapur
81,82,Hangal
82,83,Shiggaon
83,84,Haveri
84,85,Byadgi
85,86,Hirekerur
86,87,Ranibennur
87,88,Hadagalli
88,89,Hagaribommanahalli
89,90,Vijayanagara
90,91,Kampli
91,92,Siruguppa
92,93,Bellary
93,94,Bellary City
94,95,Sandur
95,96,Kudligi
96,97,Molakalmuru
97,98,Challakere
98,99,Chitradurga
99,100,Hiriyur
100,101,Hosadurga
101,102,Holalkere
102,103,Jagalur
103,104,Harapanahalli
104,105,Harihar
105,106,Davanagere North
106,107,Davanagere South
107,108,Mayakonda
108,109,Channagiri
109,110,Honnali
110,111,Shimoga Rural
111,112,Bhadravati
112,113,Shimoga
113,114,Tirthahalli
114,115,Shikaripura
115,116,Sorab
116,117,Sagar
117,118,Byndoor
118,119,Kundapura
119,120,Udupi
120,121,Kapu
121,122,Karkal
122,123,Sringeri
123,124,Mudigere
124,125,Chikmagalur
125,126,Tarikere
126,127,Kadur
127,128,Chiknayakanhalli
128,129,Tiptur
129,130,Turuvekere
130,131,Kunigal
131,132,Tumkur City
132,133,Tumkur Rural
133,134,Koratagere
134,135,Gubbi
135,136,Sira
136,137,Pavagada
137,138,Madhugiri
138,139,Gauribidanur
139,140,Bagepalli
140,141,Chikkaballapur
141,142,Sidlaghatta
142,143,Chintamani
143,144,Srinivaspur
144,145,Mulbagal
145,146,Kolar Gold Field
146,147,Bangarapet
147,148,Kolar
148,149,Malur
149,150,Yelahanka
150,151,K.R.Pura
151,152,Byatarayanapura
152,153,Yeshvanthapura
153,154,Rajarajeshwarinagar
154,155,Dasarahalli
155,156,Mahalakshmi Layout
156,157,Malleshwaram
157,158,Hebbal
158,159,Pulakeshinagar
159,160,Sarvagnanagar
160,161,C.V. Raman Nagar
161,162,Shivajinagar
162,163,Shanti Nagar
163,164,Gandhi Nagar
164,165,Rajaji Nagar
165,166,Govindraj Nagar
166,167,Vijay Nagar
167,168,Chamrajpet
168,169,Chickpet
169,170,Basavanagudi
170,171,Padmanaba Nagar
171,172,B.T.M.Layout
172,173,Jayanagar
173,174,Mahadevapura
174,175,Bommanahalli
175,176,Bangalore South
176,177,Anekal
177,178,Hosakote
178,179,Devanahalli
179,180,Doddaballapur
180,181,Nelamangala
181,182,Magadi
182,183,Ramanagaram
183,184,Kanakapura
184,185,Channapatna
185,186,Malavalli
186,187,Maddur
187,188,Melukote
188,189,Mandya
189,190,Shrirangapattana
190,191,Nagamangala
191,192,Krishnarajpet
192,193,Shravanabelagola
193,194,Arsikere
194,195,Belur
195,196,Hassan
196,197,Holenarasipur
197,198,Arkalgud
198,199,Sakaleshpur
199,200,Belthangady
200,201,Moodabidri
201,202,Mangalore City North
202,203,Mangalore City South
203,204,Mangalore
204,205,Bantval
205,206,Puttur
206,207,Sullia
207,208,Madikeri
208,209,Virajpet
209,210,Periyapatna
210,211,Krishnarajanagara
211,212,Hunsur
212,213,Heggadadevankote
213,214,Nanjangud
214,215,Chamundeshwari
215,216,Krishnaraja
216,217,Chamaraja
217,218,Narasimharaja
218,219,Varuna
219,220,T.Narasipur
220,221,Hanur
221,222,Kollegal
222,223,Chamarajanagar
223,224,Gundlupet
