const_num,constituency,votes,total_electors,Year,vote_share_percentage,vote_share_percent
1,Nippani,1447,212456,2018,0.6810822005497609,0.6810822005497609
2,Chikkodi-Sadalga,1363,211083,2018,0.6457175613384308,0.6457175613384308
3,Athani,842,214688,2018,0.3921970487404979,0.3921970487404979
4,Kagwad,754,182173,2018,0.4138922891976309,0.4138922891976309
5,Kudachi,348,180509,2018,0.19278817122691944,0.19278817122691944
6,Raybag,1184,195850,2018,0.6045442941026296,0.6045442941026296
7,Hukkeri,1830,194888,2018,0.9390008620335782,0.9390008620335782
8,Arabhavi,1398,231864,2018,0.6029396542800952,0.6029396542800952
9,Gokak,2121,242402,2018,0.874992780587619,0.874992780587619
10,Yemkanmardi,1702,188279,2018,0.9039776076992124,0.9039776076992124
11,Belgaum Uttar,1361,235098,2018,0.5789075194174345,0.5789075194174345
12,Belgaum Dakshin,1474,234896,2018,0.6275117498807983,0.6275117498807983
13,Belgaum Rural,1958,240389,2018,0.8145131432802665,0.8145131432802665
14,Khanapur,1561,206576,2018,0.7556540934087213,0.7556540934087213
15,Kittur,1456,188915,2018,0.770716989122092,0.770716989122092
16,Bailhongal,1352,184815,2018,0.7315423531639748,0.7315423531639748
17,Saundatti Yellamma,960,191740,2018,0.5006780014603108,0.5006780014603108
18,Ramdurg,1704,200580,2018,0.8495363446006581,0.8495363446006581
19,Mudhol,1608,196118,2018,0.8199145412455767,0.8199145412455767
20,Terdal,2014,220421,2018,0.9137060443424174,0.9137060443424174
21,Jamkhandi,379,203821,2018,0.18594747351843038,0.18594747351843038
22,Bilgi,848,218220,2018,0.38859866190083403,0.38859866190083403
23,Badami,2007,217721,2018,0.921821964808172,0.921821964808172
24,Bagalkot,1902,230918,2018,0.8236690080461462,0.8236690080461462
25,Hungund,1698,214145,2018,0.792920684582876,0.792920684582876
26,Muddebihal,1295,205694,2018,0.629575972075024,0.629575972075024
27,Devar Hippargi,1139,208670,2018,0.5458379259117266,0.5458379259117266
28,Basavana Bagevadi,1684,201271,2018,0.8366828802957207,0.8366828802957207
29,Babaleshwar,1786,211779,2018,0.8433319639813203,0.8433319639813203
30,Bijapur City,1399,247287,2018,0.5657394040123419,0.5657394040123419
31,Nagthan,1578,260452,2018,0.6058697955861349,0.6058697955861349
32,Indi,1244,232095,2018,0.5359874189448287,0.5359874189448287
