,Year,const_num,constituency,total_const_votes,winner_name,winner_party,winner_votes,runner_name,runner_party,runner_votes,vote_difference,margin_percent
0,2013,1,Nippani,152690.0,Jolle Shashikala Annasaheb,BJP,81860.0,Kakaso Pandurang Patil,INC,63198.0,18662.0,12.222149453140348
1,2013,2,Chikkodi-Sadalga,149375.0,Prakash Babanna Hukkeri,INC,102237.0,Basavanni Rudrappa Sangappagol,BJP,25649.0,76588.0,51.272301255230126
2,2013,3,Athani,146290.0,Laxman Sangappa Savadi,BJP,74299.0,Mahesh Iranagouda Kumathalli,INC,50528.0,23771.0,16.249230979561148
3,2013,4,Kagwad,129200.0,Bharamgoud Alagoud Kage,BJP,41784.0,Shrimant Balasaheb Patil,JD(S),38897.0,2887.0,2.2345201238390096
4,2013,5,Kudachi,115375.0,P.Rajeev,BSRC,71057.0,Ghatage Shama Bhima,INC,24823.0,46234.0,40.07280606717226
5,2013,6,Raybag,122106.0,Aihole Duryodhan Mahalingappa,BJP,37535.0,Pradeep Ramu Malagi,IND,36706.0,829.0,0.6789183168722257
6,2013,7,Hukkeri,132961.0,Umesh Vishwanath Katti,BJP,81810.0,Ravi Basavaraj Karale,INC,24484.0,57326.0,43.11489835365258
7,2013,8,Arabhavi,145099.0,Balachandra Laxmanrao Jarkiholi,BJP,99283.0,Utagi Ramappa Kareppa,INC,24062.0,75221.0,51.84115672747572
8,2013,9,Gokak,144327.0,Jarkiholi Ramesh Laxmanrao,INC,79175.0,Ashok Ningayyaswami Pujari,JD(S),51170.0,28005.0,19.403853748778815
9,2013,10,Yemkanmardi,124560.0,Satish Laxmanarao Jarakiholi,INC,70726.0,Astagi Maruti Mallappa,BJP,46376.0,24350.0,19.548811817597944
10,2013,11,Belgaum Uttar,115183.0,Fairoz Nuruddin Saith,INC,45125.0,Renu Suhas Killekar,IND,26915.0,18210.0,15.80962468419819
11,2013,12,Belgaum Dakshin,131946.0,Sambhaji Lakshman Patil,IND,54426.0,Abhay Patil,BJP,48116.0,6310.0,4.782259409152229
12,2013,13,Belgaum Rural,152059.0,Sanjay B Patil,BJP,38322.0,Kinekar Manohar Kallappa,IND,36987.0,1335.0,0.8779486909686371
13,2013,14,Khanapur,134890.0,Arvind Chandrakant Patil,IND,37055.0,Rafique Khatalsab Khanapuri,INC,20903.0,16152.0,11.974201200978575
14,2013,15,Kittur,125970.0,Inamadar Danappagouda Basanagouda,INC,53924.0,Suresh Shivarudrappa Marihal,BJP,35634.0,18290.0,14.51932999920616
15,2013,16,Bailhongal,126797.0,Dr Vishwanath Iranagouda Patil,KJP,40709.0,Jagadish C. Metgud,BJP,37088.0,3621.0,2.8557457984021704
16,2013,17,Saundatti Yellamma,133145.0,Anand Alias Vishwanath Chandrashekhar Mamani,BJP,46434.0,Ravindra Bhupalappa Yaligar,INC,30392.0,16042.0,12.048518532427053
17,2013,18,Ramdurg,129132.0,Ashok Mahadevappa Pattan,INC,42310.0,Yadawad Shivalingappa Mahadevappa,BJP,37326.0,4984.0,3.859616516432798
18,2013,19,Mudhol,129099.0,Govind.M.Karjol,BJP,64727.0,Timmapur.Ramappa. Balappa.,INC,59549.0,5178.0,4.0108753747124295
19,2013,20,Terdal,151562.0,Umashree,INC,70189.0,Siddu Savadi,BJP,67590.0,2599.0,1.7148097808157718
20,2013,21,Jamkhandi,131750.0,Siddu B. Nyamagouda,INC,49145.0,Jagadish Gudagunti,IND,27993.0,21152.0,16.054648956356736
21,2013,22,Bilgi,149179.0,J . T. Patil,INC,66655.0,Muragesh. Rudrappa. Nirani,BJP,55417.0,11238.0,7.533231889206926
22,2013,23,Badami,139071.0,Chimmanakatti Balappa Bhimappa,INC,57446.0,Mahantesh Gurupadappa Mamadapur,JD(S),42333.0,15113.0,10.867111043999108
23,2013,24,Bagalkot,139966.0,Meti Hullappa Yamanappa,INC,68216.0,Charantimath Veeranna Chandrashekharayya,BJP,65316.0,2900.0,2.0719317548547505
24,2013,25,Hungund,137024.0,Kashappanavar Vijayanand Shivashankrappa,INC,72720.0,Doddanagouda G Patil,BJP,56923.0,15797.0,11.528637319009809
