const_num,total_electors,total_const_votes,Year,constituency
1,189696,152690,2013,Nippani
2,187308,149375,2013,Chikkodi-Sadalga
3,186167,146290,2013,Athani
4,164201,129200,2013,Kagwad
5,147941,115375,2013,Kudachi
6,162583,122106,2013,Raybag
7,175565,132961,2013,Hukkeri
8,196454,145099,2013,Arabhavi
9,202371,144327,2013,Gokak
10,162258,124560,2013,Yemkanmardi
11,193980,115183,2013,Belgaum Uttar
12,202238,131946,2013,Belgaum Dakshin
13,205568,152059,2013,Belgaum Rural
14,185379,134890,2013,Khanapur
15,166696,125970,2013,Kittur
16,163270,126797,2013,Bailhongal
17,168709,133145,2013,Saundatti Yellamma
18,172341,129132,2013,Ramdurg
19,166358,129099,2013,Mudhol
20,192780,151562,2013,Terdal
21,176718,131750,2013,Jamkhandi
22,190466,149179,2013,Bilgi
23,196662,139071,2013,Badami
24,201375,139966,2013,Bagalkot
25,191972,137024,2013,Hungund
26,174207,114726,2013,Muddebihal
27,178141,115245,2013,Devar Hippargi
28,175846,126819,2013,Basavana Bagevadi
29,184083,134348,2013,Babaleshwar
30,211756,119021,2013,Bijapur City
31,225624,140024,2013,Nagthan
32,200749,138775,2013,Indi
33,184900,128355,2013,Sindgi
34,190336,128606,2013,Afzalpur
35,197259,144563,2013,Jevargi
36,220310,146207,2013,Shorapur
37,188066,127118,2013,Shahapur
38,190536,119778,2013,Yadgir
39,203045,129030,2013,Gurmitkal
40,190429,123716,2013,Chittapur
41,185201,135976,2013,Sedam
42,169337,112983,2013,Chincholi
43,211123,123418,2013,Gulbarga Rural
44,211956,117303,2013,Gulbarga Dakshin
45,208698,104839,2013,Gulbarga Uttar
46,192986,132385,2013,Aland
47,198007,126172,2013,Basavakalyan
48,206145,136013,2013,Humnabad
49,181107,124857,2013,Bidar South
50,190262,112971,2013,Bidar
51,200474,147091,2013,Bhalki
52,189099,129101,2013,Aurad
53,195582,134739,2013,Raichur Rural
54,184986,99286,2013,Raichur
55,199508,121974,2013,Manvi
56,182856,127422,2013,Devadurga
57,197870,129580,2013,Lingsugur
58,199977,145208,2013,Sindhanur
59,164884,105728,2013,Maski
60,193774,138246,2013,Kushtagi
61,183620,135446,2013,Kanakagiri
62,170865,125343,2013,Gangawati
63,180009,136729,2013,Yelburga
64,205255,151417,2013,Koppal
65,182763,131227,2013,Shirahatti
66,191106,136314,2013,Gadag
67,195737,145905,2013,Ron
68,171702,128630,2013,Nargund
69,182898,137347,2013,Navalgund
70,168831,129517,2013,Kundgol
71,183561,133018,2013,Dharwad
72,174347,109094,2013,Hubli-Dharwad East
73,212179,117311,2013,Hubli-Dharwad Central
74,220564,126910,2013,Hubli-Dharwad West
75,168350,131588,2013,Kalghatgi
76,157649,120150,2013,Haliyal
77,205831,145439,2013,Karwar
78,167620,124257,2013,Kumta
79,189664,134517,2013,Bhatkal
80,174259,131191,2013,Sirsi
81,151753,120745,2013,Yellapur
82,173934,144395,2013,Hangal
