,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
0,Badami,Chimmanakatti Balappa Bhimappa,INC,62.0,,,,Unknown,Not Available,Bagalkot,Not Available,Not Available,Cound't Classify,Cound't Classify
1,Dasarahalli,S Muniraju,BJP,55.0,,,,Unknown,Not Available,Bangalore Urban,Not Available,Not Available,Cound't Classify,Cound't Classify
2,Gurmitkal,Baburao Chinchanasoor,INC,62.0,,,,Unknown,Not Available,Yadgir,Not Available,Not Available,Cound't Classify,Cound't Classify
3,Heggadadevankote,Chikkamadu S,JD(S),62.0,,,,Unknown,Not Available,Mysore,Not Available,Not Available,Cound't Classify,Cound't Classify
4,Jagalur,H.P.Rajesh,INC,47.0,,,,Unknown,Not Available,Davangere,Not Available,Not Available,Cound't Classify,Cound't Classify
5,Kanakagiri,Shivaraj Sangappa Tangadagi,INC,42.0,,,,Unknown,Not Available,Koppal,Not Available,Not Available,Cound't Classify,Cound't Classify
6,Kundgol,Channabasappa Satyappa Shivalli,INC,51.0,,,,Unknown,Not Available,Dharwad,Not Available,Not Available,Cound't Classify,Cound't Classify
7,Lingsugur,Manappa D.Vajjal,JD(S),52.0,,,,Unknown,Not Available,Raichur,Not Available,Not Available,Cound't Classify,Cound't Classify
8,Maski,Pratapgowda Patil,INC,58.0,,,,Unknown,Not Available,Raichur,Not Available,Not Available,Cound't Classify,Cound't Classify
9,Melukote,K.S.Puttannaiah,SKP,63.0,,,,Unknown,Not Available,Mandya,Not Available,Not Available,Cound't Classify,Cound't Classify
10,Mudigere,B.B. Ningaiah,JD(S),54.0,,,,Unknown,Not Available,Chikmagalur,Not Available,Not Available,Cound't Classify,Cound't Classify
11,Nagthan,Raju Alagur,INC,52.0,,,,Unknown,Not Available,Bijapur,Not Available,Not Available,Cound't Classify,Cound't Classify
12,Pavagada,K.M.Thimmarayappa,JD(S),55.0,,,,Unknown,Not Available,Tumkur,Not Available,Not Available,Cound't Classify,Cound't Classify
13,Raichur,Dr. Shivaraj Patil S.,JD(S),42.0,,,,Unknown,Not Available,Raichur,Not Available,Not Available,Cound't Classify,Cound't Classify
14,Shorapur,Raja Venkatappa Nayak,INC,56.0,,,,Unknown,Not Available,Yadgir,Not Available,Not Available,Cound't Classify,Cound't Classify
