,constituency,name,party,age,cases,assets,liabilities,education_category,education,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
0,Badami,Chimmanakatti Balappa Bhimappa,INC,62,,,,Unknown,Not Available,Bagalkot,Not Available,Not Available,Cound't Classify,Cound't Classify
1,Dasarahalli,S Muniraju,BJP,55,,,,Unknown,Not Available,Bangalore Urban,Not Available,Not Available,Cound't Classify,Cound't Classify
2,Gurmitkal,Baburao Chinchanasoor,INC,62,,,,Unknown,Not Available,Yadgir,Not Available,Not Available,Cound't Classify,Cound't Classify
3,Heggadadevankote,Chikkamadu S,JD(S),62,,,,Unknown,Not Available,Mysore,Not Available,Not Available,Cound't Classify,Cound't Classify
4,Jagalur,H.P.Rajesh,INC,47,,,,Unknown,Not Available,Davangere,Not Available,Not Available,Cound't Classify,Cound't Classify
5,Kanakagiri,Shivaraj Sangappa Tangadagi,INC,42,,,,Unknown,Not Available,Koppal,Not Available,Not Available,Cound't Classify,Cound't Classify
6,Kundgol,Channabasappa Satyappa Shivalli,INC,51,,,,Unknown,Not Available,Dharwad,Not Available,Not Available,Cound't Classify,Cound't Classify
7,Lingsugur,Manappa D.Vajjal,JD(S),52,,,,Unknown,Not Available,Raichur,Not Available,Not Available,Cound't Classify,Cound't Classify
8,Maski,Pratapgowda Patil,INC,58,,,,Unknown,Not Available,Raichur,Not Available,Not Available,Cound't Classify,Cound't Classify
9,Melukote,K.S.Puttannaiah,SKP,63,,,,Unknown,Not Available,Mandya,Not Available,Not Available,Cound't Classify,Cound't Classify
10,Mudigere,B.B. Ningaiah,JD(S),54,,,,Unknown,Not Available,Chikmagalur,Not Available,Not Available,Cound't Classify,Cound't Classify
11,Nagthan,Raju Alagur,INC,52,,,,Unknown,Not Available,Bijapur,Not Available,Not Available,Cound't Classify,Cound't Classify
12,Pavagada,K.M.Thimmarayappa,JD(S),55,,,,Unknown,Not Available,Tumkur,Not Available,Not Available,Cound't Classify,Cound't Classify
13,Raichur,Dr. Shivaraj Patil S.,JD(S),42,,,,Unknown,Not Available,Raichur,Not Available,Not Available,Cound't Classify,Cound't Classify
14,Shorapur,Raja Venkatappa Nayak,INC,56,,,,Unknown,Not Available,Yadgir,Not Available,Not Available,Cound't Classify,Cound't Classify
15,Shrirangapattana,A.B. Ramesha Bandisiddegowda,JD(S),47,,,,Unknown,Not Available,Mandya,Not Available,Not Available,Cound't Classify,Cound't Classify
16,Sullia,Angara.S,BJP,49,0.0,9191950.0,683124.0,Primary Education,CHOKKADI HIGH SCHOOL,Dakshina Kannada,Agriculturist,HOUSE WIFE,Agriculture / Farming,Not Given
17,Devar Hippargi,Aminappagouda Patil,INC,44,0.0,617078584.0,77500000.0,Postgraduates,"MSc,Year-1994",Bijapur,Agriculture Business,"Housewife, Agriculture Business","Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Agriculture / Farming, Arts / Entertainment"
18,Madikeri,Appachu Ranjan .M.P,BJP,56,0.0,106509963.0,1927363.0,Higher Secondary Education,12TH VIVEKANANDHA COLLEGE PUTTURU IN THE YEAR 1973,Kodagu,Agriculture,House wife,Agriculture / Farming,Not Given
19,Devadurga,A Venkatesh Naik,INC,76,0.0,18974790.0,1000000.0,Graduates,Intermediate From Osmania University Hyedrabad 1956,Raichur,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
20,Yellapur,Arbail Hebbar Shivaram,INC,55,0.0,90206437.0,53265337.0,Primary Education,KADATHOKA HIGH SCHOOL HONNAVAR,Uttara Kannada,AGRICULTURE AND BUSINESS,AGRICULTURE AND HOUSEWIFE,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming
21,Mahadevapura,Aravind Limbavali,BJP,46,0.0,61266557.0,14855631.0,Diploma Holders,"B.E (Civil) From BMS Engg. College, Bangalore University in 1991-92, Diploma in Civil Engg. From BVV's Polytechnic Bagalkot in 1986-87",Bangalore Urban,Civil Engineer and Social Worker,Business and Social Worker,"Engineering / Technology, Social Work / Activism","Business / Entrepreneurship, Social Work / Activism"
22,Bellary City,Anil H Lad,INC,39,0.0,2889876598.0,750387482.0,Higher Secondary Education,Sandur Residential composite junior college,Bellary,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
23,Jevargi,Ajay Dharmsingh,INC,39,3.0,245345341.0,,Doctorates,"MBBS from M.S. Ramaiah Medical College, Bangalore from 1993 to 1998",Gulbarga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
24,Hubli-Dharwad East,Abbayya Prasad,INC,44,0.0,13868225.0,,Higher Secondary Education,2nd PUC(Science) Pass,Dharwad,Business,Homemaker,Business / Entrepreneurship,Not Given
25,Raybag,Aihole Duryodhan Mahalingappa,BJP,55,0.0,44823402.0,2000000.0,Secondary Education,SSLC in H.V.H. High School Harugeri,Belgaum,Standing MLA Agriculture,Agriculturist H.H.Work,"Politics / Public Service, Agriculture / Farming",Agriculture / Farming
26,Hubli-Dharwad West,Arvind Chandrakant Bellad,BJP,43,1.0,480563000.0,15840000.0,Graduates,"BE,PGDM 1991-92 sdm engnering collage dharwad",Dharwad,Jaggery and company partnar ship,Jaggery and company partnar ship,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
27,Nargund,B R Yavagal,INC,66,0.0,27219790.0,,Graduates,B.Sc. LLB (Spl),Gadag,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
28,Bidar South,Ashok Kheny,KMP,62,1.0,1452120014.0,293658081.0,Postgraduates,"M.S. (Management Science Engineering) in 1974 from Wooster Polytechnic College (Wooster,Massachusetts),USA",Bidar,Business Entrepreneur,Home Maker,Business / Entrepreneurship,Not Given
29,Muddebihal,Appaji Urf Channabasavaraj Shankarao Nadagoud,INC,55,0.0,46383135.0,3242968.0,Graduates,BA,Bijapur,Agriculture,House wife,Agriculture / Farming,Not Given
30,Ramdurg,Ashok Mahadevappa Pattan,INC,58,0.0,12002821.0,2200825.0,Graduates,"B.A Graduate in A.P.S College , Basavanguddi, Bangalore in 1992",Belgaum,Social worker,House wife,Social Work / Activism,Not Given
31,Shikaripura,B. S. Yediyurappa,KJP,71,17.0,58360854.0,4889377.0,Graduates,B.A. From Bangalore University,Shimoga,Agriculturist,Not Given,Agriculture / Farming,Cound't Classify
32,Bantval,B. Ramanatha Rai,INC,61,0.0,36273209.0,,Graduates,B.A. MYSORE VISHWAVIDHYALAY IN THE YEAR 1977,Dakshina Kannada,FARMER,FARMER,Agriculture / Farming,Agriculture / Farming
33,Khanapur,Arvind Chandrakant Patil,IND,45,0.0,7602935.0,1838778.0,Higher Secondary Education,P.U.C. 2nd Year in the Year 1984 From MMS PU College Khanapur,Belgaum,Agriculture and Transport Business,House wife,"Agriculture / Farming, Transportation / Logistics",Not Given
34,K.R.Pura,B.A. Basavaraja,INC,48,4.0,463850222.0,55326594.0,Graduates,BA In 1985-1988,B.B.M.P(North),farming and business,home maker,"Agriculture / Farming, Business / Entrepreneurship",Not Given
