,name,age,gender,party,votes,percent_votes,constituency,constituency_category,total_electors,voter_turnout
0,Sowmya R,,,INC,54458,54458.0,Jayanagar,GEN,203184,111584
1,M Y Patil,77.0,M,INC,71735,47.91661100275203,Afzalpur,GEN,220007,149708
2,Guttedar Subhash Rukmayya,66.0,M,BJP,76815,47.82733221675,Aland,GEN,233841,160609
3,B.Shivanna,50.0,M,INC,113894,50.02437663883484,Anekal,SC,359550,227677
4,Balachandra Lakshmanarao Jarakiholi,51.0,M,BJP,96144,54.33829181172853,Arabhavi,GEN,231864,176936
5,A. T. Ramaswamy,66.0,M,JD(S),85064,45.03027993054673,Arkalgud,GEN,215604,188904
6,K.M Shivalinge Gowda,60.0,M,JD(S),93986,54.34004590683341,Arsikere,GEN,208389,172959
7,Mahesh Iranagouda Kumathalli,56.0,M,INC,82094,48.13062468853517,Athani,GEN,214688,170565
8,Prabhu Chauhan,49.0,M,BJP,75061,50.92022875129741,Aurad,SC,214461,147409
9,Ramalinga Reddy,65.0,M,INC,67085,49.35188182326456,B.T.M.Layout,GEN,270500,135932
10,Mallanagoud Basanagoud Patil,53.0,M,INC,98339,57.292085408838005,Babaleshwar,GEN,211779,171645
11,Siddaramaiah,69.0,M,INC,67599,41.23776117126735,Badami,GEN,217721,163925
12,Veerabhadrayya (Veeranna) Charantimath,59.0,M,BJP,85653,53.03230120549065,Bagalkot,GEN,230918,161511
13,S.N. Subbareddy(Chinnakayalapalli),52.0,M,INC,65710,39.938490712827,Bagepalli,GEN,197982,164528
14,Koujalagi. Mahantesh. Shivanand.,47.0,M,INC,47040,32.486187845303874,Bailhongal,GEN,184815,144800
15,M Krishnappa,55.0,M,BJP,152427,47.74459288029945,Bangalore South,GEN,603939,319255
16,S.N.Narayanaswamy K.M,50.0,M,INC,71171,45.28800142537161,Bangarapet,SC,193234,157152
17,Rajesh Naik U.,59.0,M,BJP,97802,53.57399139985209,Bantval,GEN,221765,182555
18,B. Narayanrao,63.0,M,INC,61425,42.26704099748152,Basavakalyan,GEN,224318,145326
19,Shivanand Patil,56.0,M,INC,58647,39.78657295595777,Basavana Bagevadi,GEN,201271,147404
20,Ravisubramanya.L.A,60.0,M,BJP,76018,58.45604915297248,Basavanagudi,GEN,245328,130043
21,Abhay Patil,48.0,M,BJP,84498,57.59329311931295,Belgaum Dakshin,GEN,234896,146715
22,Laxmi R Hebbalkar,43.0,F,INC,102040,54.73690986433786,Belgaum Rural,GEN,240389,186419
23,Anil S Benake,53.0,M,BJP,79060,53.626904345230834,Belgaum Uttar,GEN,235098,147426
24,B Nagendra,47.0,M,INC,79186,48.54224903143544,Bellary,ST,219291,163128
25,G. Somasekhara Reddy,52.0,M,BJP,76589,50.63166454018391,Bellary City,GEN,233284,151267
26,Harish Poonja,36.0,M,BJP,98417,54.8131439710387,Belthangady,GEN,218935,179550
27,Lingesha. K.S.,59.0,M,JD(S),64268,42.20411218881132,Belur,GEN,190544,152279
