,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
0,Kampli,A Devadas,SUCI(C),55,0,1768878.0,,Unknown,"SSLC Discontinued, Sri Kampilaraya Girijana Hign School, Allipur, Bellary-4 Year 1983-84",ST,Bellary,A Whole time worker of SUCI {C} Agriculturist,A Whole time worker of SUCI {C} retired teacher of Private School,Agriculture / Farming,Unknown
1,Pulakeshinagar,A Chandra Kumar,IND,40,0,110000.0,,Primary Education,"7th Standard from S.L.B. Higher Primary School Champion Heats, K.G.F. in 1985",SC,B.B.M.P(North),Flooring Tile Labour,Not Given,Construction / Real Estate,Cound't Classify
2,Muddebihal,K. B. Dodamani Vakeelaru,BSP,40,0,500000.0,40000.0,Postgraduates,MA in Kuvempu university distance education-2013,GEN,Bijapur,Private Advocate,House wife,"Law / Judiciary, Consulting / Advisory",Not Given
3,Pavagada,B T Ramasubbaiah,BhartiyaBahujanKranti Dal,61,1,120000.0,124000.0,Graduates,BA,SC,Tumkur,Social Worker,Not Given,Social Work / Activism,Cound't Classify
4,Krishnaraja,T.S. Srivathsa,BJP,56,0,4889436.0,135000.0,Graduates,"B.Com. from Banumaya College New Saiyaji Rao Road, Mysore University in 1987-88",GEN,Mysore,Contractor,Not Given,Consulting / Advisory,Cound't Classify
5,Belgaum Dakshin,Hanamanth Mallappa Madivalar Urpa Hulageri,Karnataka Rashtra Samithi,43,0,7982000.0,520000.0,Secondary Education,"SSLC ,High School Gadhannakeri Cross (1995-1996)",GEN,Belgaum,Self employment (Brick factory),Housewife,"Business / Entrepreneurship, Military / Defense",Education / Academia
6,Pulakeshinagar,A Murali,BJP,52,0,9785900.0,50000.0,Secondary Education,"9th Standard, Corporation Boys High School, Pillanna Garden Bangalore",SC,B.B.M.P(North),Social Worker Business,House Wife,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify
7,T.Narasipur,A N Shivalingappa,Samajwadi Janata Party(Karnataka),48,0,67000.0,,Doctorates,"Master Degree In 2006-07 and Ph.D. In 2023 From Mysore University, Gangotri",SC,Mysore,Self Employed,House wife,Business / Entrepreneurship,Not Given
8,Pulakeshinagar,A C Srinivasa,INC,56,0,1876783128.0,1112253548.0,Graduates,"Bcom ,V. V Puram College Bangalore University-1989",SC,B.B.M.P(North),"Land Developers, Agriculturist, Social Worker and Education Sectors","Land Developers, and Land Consultant","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism, Education / Academia","Construction / Real Estate, Consulting / Advisory"
9,Kundapura,A Kiran Kumar Kodgi,BJP,60,0,199717465.0,,Graduates,B.Sc,GEN,Udupi,Business,House wife,Business / Entrepreneurship,Not Given
