,name,constituency,party,votes,age,gender,is_re_elected,eligible_male_voters,eligible_female_voters,eligible_other_voters,eligible_total_voters
0,Jolle Shashikala Annasaheb,Nippani,BJP,73348,53.0,F,1,113856,111823,9,225688
1,Aihole Duryodhan Mahalingappa,Raybag,BJP,57500,65.0,M,1,108127,102369,9,210505
2,Katti Nikhil Umesh,Hukkeri,BJP,103574,40.0,M,0,103117,103449,8,206574
3,Balachandra Lakshmanarao Jarakiholi,Arabhavi,BJP,115402,56.0,M,1,124244,123404,8,247656
4,Jarkiholi Ramesh Laxmanrao,Gokak,BJP,105313,63.0,M,1,125635,128996,19,254650
5,Siddu Savadi,Terdal,BJP,77265,63.0,M,1,113719,113593,18,227330
6,Jagadeesh Shivayya Gudagunti,Jamkhandi,BJP,81937,68.0,M,0,107204,107042,5,214251
7,Ithal Somanna Halagekar,Khanapur,BJP,91834,60.0,M,0,109732,102922,10,212664
8,Abhay Patil,Belgaum Dakshin,BJP,77094,54.0,M,1,124922,123119,11,248052
9,Basanagoud .R. Patil (Yatnal),Bijapur City,BJP,94211,60.0,M,1,139699,141826,93,281618
10,Dr. Umesh G Jadhav,Chincholi,BJP,69963,34.0,M,1,103757,99736,15,203508
11,Basawaraj Mattimud,Gulbarga Rural,BJP,84466,43.0,M,1,132276,125229,36,257541
12,B. Narayanrao,Basavakalyan,BJP,92920,47.0,M,1,128287,118087,5,246379
13,Siddu Patil,Humnabad,BJP,75515,45.0,M,0,125368,117706,13,243087
14,Dr. Shailendra Beldale,Bidar South,BJP,49872,49.0,M,0,105464,98791,3,204258
15,Prabhu Chauhan,Aurad,BJP,81382,53.0,M,1,113956,105234,0,219190
16,Dr. Shivaraj Patil,Raichur,BJP,69655,52.0,M,1,114978,117619,101,232698
17,Manappa D Vajjal,Lingsugur,BJP,58769,59.0,M,0,126988,128537,9,255534
18,Doddanagouda Hanamagouda Patil,Kushtagi,BJP,92915,49.0,M,0,117661,115955,9,233625
19,Dr.Chandru Lamani,Shirahatti,BJP,74489,34.0,M,0,113885,112922,14,226821
20,Chandrakantagouda Channappagouda Patil,Nargund,BJP,72835,64.0,M,1,94605,91926,7,186538
21,Mahesh Tenginakai,Hubli-Dharwad Central,BJP,95064,52.0,M,0,123584,125617,39,249240
22,Arvind Bellad,Hubli-Dharwad West,BJP,101410,53.0,M,1,129613,133445,4,263062
23,M R Patil,Kundgol,BJP,76105,61.0,M,0,95794,90733,8,186535
24,Dinakar Keshav Shetty,Kumta,BJP,59965,65.0,M,1,94247,94485,3,188735
25,Basavaraj Bommai,Shiggaon,BJP,100016,63.0,M,1,116588,109480,11,226079
26,Arabail Hebbar Shivaram,Yellapur,BJP,74699,65.0,M,1,92238,90118,0,182356
27,Krishna Nayaka,Hadagalli,BJP,73200,40.0,M,0,96632,94624,14,191270
28,B P Harish,Harihar,BJP,63924,62.0,M,0,103667,103832,18,207517
29,Channabasappa (Chenni),Shimoga,BJP,96490,59.0,M,0,127441,133249,14,260704
30,Araga Jnanendra,Tirthahalli,BJP,84563,70.0,M,1,92760,95135,0,187895
31,Vijayendra Yediyurappa,Shikaripura,BJP,81810,47.0,M,0,99781,99024,3,198808
32,Gururaj Shetty Gantihole,Byndoor,BJP,98628,42.0,M,0,115346,120319,3,235668
33,A Kiran Kumar Kodgi,Kundapura,BJP,102424,60.0,M,0,100751,108784,2,209537
34,Yashpal,Udupi,BJP,97079,44.0,M,0,104787,112148,3,216938
35,Gurme Suresh Shetty,Kapu,BJP,80559,60.0,M,0,90517,98430,5,188952
