,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
0,Gulbarga Dakshin,Allamprabhu Patil,INC,67.0,0.0,68462021.0,10738899.0,Graduates,BA from SB Collge of Arts Kalaburagi in 1978-79,GEN,Gulbarga,"Social Service, Agriculture Business",Agriculture Business,"Politics / Public Service, Social Work / Activism, Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship"
1,Pulakeshinagar,A C Srinivasa,INC,56.0,0.0,1876783128.0,1112253548.0,Graduates,"Bcom ,V. V Puram College Bangalore University-1989",SC,B.B.M.P(North),"Land Developers, Agriculturist, Social Worker and Education Sectors","Land Developers, and Land Consultant","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism, Education / Academia","Construction / Real Estate, Consulting / Advisory"
2,Kollegal,A.R.Krishnamurthy,INC,62.0,0.0,45848260.0,,Graduates,"Graduate From Maharaja College, Year-1981-82 Post Graduate Diploma in Journalism From Maneshar Gangotri Mysore, Year-1987-88",SC,Chamarajnagar,Ex-Chairman of Ambedkar development co-op and owner of petrol station,House wife,"Business / Entrepreneurship, Social Work / Activism",Not Given
3,Kundapura,A Kiran Kumar Kodgi,BJP,60.0,0.0,199717465.0,,Graduates,B.Sc,GEN,Udupi,Business,House wife,Business / Entrepreneurship,Not Given
4,Hubli-Dharwad East,Abbayya Prasad,INC,54.0,0.0,59602725.0,16012013.0,Higher Secondary Education,"2nd PUC- P C Jebena Science College, Vidyanagar, Hubli (Department Of Pre-University , Bengaluru) In 1988",SC,Dharwad,Social service,Coaching Classes,Social Work / Activism,Education / Academia
5,Krishnaraja,T.S. Srivathsa,BJP,56.0,0.0,4889436.0,135000.0,Graduates,"B.Com. from Banumaya College New Saiyaji Rao Road, Mysore University in 1987-88",GEN,Mysore,Contractor,Not Given,Consulting / Advisory,Cound't Classify
6,Virajpet,A.S.Ponnanna,INC,48.0,0.0,303406891.0,46374990.0,Postgraduates,"BA, LLB from University Law College, Bengaluru In 1997",GEN,Kodagu,Senior Advocate,Teacher,Law / Judiciary,Education / Academia
7,Arkalgud,A. Manju,JD(S),66.0,0.0,373600436.0,40035568.0,Graduates,"B.A., L.L.B, SJRC College Bangalore 1985-86",GEN,Hassan,Lawyers,Business and House Wife,Law / Judiciary,Business / Entrepreneurship
8,Shrirangapattana,A.B. Ramesha Bandisiddegowda,INC,50.0,2.0,159288753.0,19706800.0,Diploma Holders,"Diploma in Electronic and Telecommunication - Final Year D.Banumayya College, Mysore 1989-90",GEN,Mandya,EX-MLS and Agriculture and Business,Business and House wife,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Not Given"
9,Raybag,Aihole Duryodhan Mahalingappa,BJP,65.0,0.0,147133482.0,10000000.0,Secondary Education,SSLC From Harugeri School Raybag in 1973,SC,Belgaum,Current MLA Agriculture,House Work,"Politics / Public Service, Agriculture / Farming",Cound't Classify
10,Belgaum Dakshin,Abhay Patil,BJP,54.0,3.0,98349096.0,2955955.0,Secondary Education,"SSLC From Govt. Chintamanrao Jr. College, Shahapur Belgaum, Year-1985 National Trade Certificate Secured From Bharatesh ITI College, Belgaum, Year-1988",GEN,Belgaum,Agriculture Social Work,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify
11,Heggadadevankote,Anil Kumar C,INC,34.0,2.0,149443273.0,,Secondary Education,"SSLC- Talent High School Hunsuru, 2005, Mysore District",ST,Mysore,Agriculture and Business,Bank Employee,"Agriculture / Farming, Business / Entrepreneurship",Banking / Finance
12,Ramdurg,Ashok Pattan,INC,72.0,0.0,17880658.0,3681430.0,Graduates,"B.A , APS College basvangudi banglore 1982",GEN,Belgaum,Social service,Not Given,Social Work / Activism,Cound't Classify
13,Sindgi,Ashok Mallappa Managuli,INC,54.0,1.0,74598335.0,38379776.0,Graduates,"BA- New Art College, Sindagi, Karnataka Univeristy Dharward- 1991",GEN,Bijapur,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given
14,Hubli-Dharwad West,Arvind Bellad,BJP,53.0,0.0,1065705489.0,148105000.0,Graduates,"B.E, SDM Engeeneering college Dharwad 1991-1992",GEN,Dharwad,M.D of bellad company,M.D of bellad company,Business / Entrepreneurship,Business / Entrepreneurship
15,Muddebihal,Appaji Aliyas Channabasavaraj S O Shankarao Nadagouda,INC,65.0,0.0,221776720.0,16656701.0,Graduates,"Bachular of Arts, L.V D,Collage,Rayacure",GEN,Bijapur,Agriculture,Housewife and Agriculture,Agriculture / Farming,"Hospitality / Tourism, Agriculture / Farming"
16,Tirthahalli,Araga Jnanendra,BJP,70.0,0.0,62858539.0,600000.0,Graduates,"B.Com, National commerce college , Shimoga in 1971 to 1974",GEN,Shimoga,Agriculture,House wife,Agriculture / Farming,Not Given
17,Yellapur,Arabail Hebbar Shivaram,BJP,65.0,1.0,212788863.0,23156381.0,Secondary Education,"SSLC (Secondary School Leaving Certificate) from Janata Vidyalaya Kadatoka, Tq. Honnavar, Uttara Kannada in 1972-73",GEN,Uttara Kannada,"Agriculturist, Actively into Politics and Social Worker",House Wife Agriculture,"Agriculture / Farming, Politics / Public Service, Social Work / Activism",Agriculture / Farming
18,Puttur,Ashok Kumar Rai,INC,53.0,1.0,428388019.0,,Postgraduates,MA Politics from Karnataka State and University Mysore In 2009,GEN,Dakshina Kannada,Farming and Industry,Industry,"Agriculture / Farming, Engineering / Technology",Engineering / Technology
19,Jevargi,Ajay Dharam Singh,INC,49.0,1.0,657904532.0,378016860.0,Doctorates,"Bachelor of Medicine and Bachelor of Surgery (MBBS) from M S. Ramaiah Medical College, Bangalore University- Year - 1998",GEN,Gulbarga,Social Worker Business,Business,"Social Work / Activism, Business / Entrepreneurship",Business / Entrepreneurship
20,Hosadurga,B G Govindappa,INC,67.0,1.0,29098000.0,1873590.0,Higher Secondary Education,PUC From JSS College Mysore In 1971-72,GEN,Chitradurga,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
21,Sidlaghatta,B N Ravikumar,JD(S),54.0,0.0,22565901.0,20000.0,Primary Education,"7th passed government higher primary school , maloor in 1987-88",GEN,Chikkaballapur,Agriculture,House wife,Agriculture / Farming,Not Given
22,Chincholi,Dr. Umesh G Jadhav,BJP,34.0,0.0,27180652.0,9630394.0,Doctorates,MBBS from JSS Medical College Mysore in 2016,SC,Gulbarga,Doctor,Housewife,Medicine / Healthcare,Education / Academia
23,Siruguppa,B. M. Nagaraja,INC,51.0,0.0,92962608.0,,Unknown,"SSLC from Govt. High School, Siruguppa - Failed",ST,Bellary,Agriculture Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given
24,Harihar,B P Harish,BJP,62.0,0.0,57339331.0,12341925.0,Graduates,B.A- M.S.B.College Davangere -1981,GEN,Davangere,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify
25,Belgaum Uttar,Asif (Raju) Sait,INC,64.0,0.0,331449445.0,203740.0,Higher Secondary Education,"PUC Commerce, Gogate Collage of commerce, in year 1975",GEN,Belgaum,Business,House wife,Business / Entrepreneurship,Not Given
26,Anekal,B.Shivanna,INC,56.0,1.0,352472752.0,40725739.0,Postgraduates,"M.Sc., Bangalore University 1992 L.L.B Islamia Law College Bangalore 1995",SC,Bangalore Urban,"Social Worker ,Business",House Wife,"Social Work / Activism, Business / Entrepreneurship",Cound't Classify
27,Jagalur,B.Devendrappa,INC,61.0,0.0,21154681.0,3200000.0,Graduates,"PUC Pass- Graduate Education Incomplete, Govt. Arts College, Chithraduraga, In 1983-84",ST,Davangere,Retired Govt. Employee and Agriculture,Agriculture,"Education / Academia, Agriculture / Farming",Agriculture / Farming
28,Bhadravati,B.K.Sangameshwara.,INC,60.0,4.0,69748411.0,28386203.0,Secondary Education,"SSLC ,Bhadra High School,Halappa Circle ,Bhadravathi",GEN,Shimoga,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
29,K.R.Pura,B. A. Basavaraja,BJP,59.0,3.0,1225222505.0,231884072.0,Higher Secondary Education,B.A Government Arts College Bangalore 1st Year Not Completed in 1988-89,GEN,B.B.M.P(North),Business,House Wife,Business / Entrepreneurship,Cound't Classify
30,Bellary,B Nagendra,INC,52.0,42.0,176342135.0,37878335.0,Graduates,B. Com From Veerashaiva College Bellary Gulbarga University In 1993,ST,Bellary,Member of Vidhan Sabh,House Wife,Politics / Public Service,Cound't Classify
31,Kittur,Babasaheb Patil,INC,51.0,0.0,51716730.0,11233735.0,Graduates,"B.Sc. (Agri) From University of Agricultural Science, Dharwad, Year-1994",GEN,Belgaum,Agriculture Business,Business Public Servant,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Politics / Public Service"
32,Shiggaon,Basavaraj Bommai,BJP,63.0,0.0,521356863.0,59420772.0,Diploma Holders,"BE in Mechanical BVB Engineering college, Hubli-580031 in 1977-1982",GEN,Haveri,Public Servant Business,Business,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship
33,Tumkur Rural,B.Suresh Gowda,BJP,58.0,2.0,139740978.0,9700000.0,Graduates,"B.Com from RC College, Bangalore University in 1987-1988",GEN,Tumkur,social Service,House Wife and Agriculturist,Social Work / Activism,"Agriculture / Farming, Not Given"
34,Maski,Basan Gouda Turvihal,INC,58.0,1.0,29965452.0,3112602.0,Secondary Education,SSLC Sri Vasavi High School Sindhanur,ST,Raichur,Agriculture,no,Agriculture / Farming,Cound't Classify
35,Chamrajpet,B.Z. Zameer Ahmed Khan,INC,55.0,5.0,727258460.0,423926175.0,Unknown,"SSLC Discontinued at Siddhartha High School Kunigal, Tumkur Dist In 1982-83",GEN,B.B.M.P(Central),Business Politics,N.A.,"Business / Entrepreneurship, Politics / Public Service",Not Given
36,Bijapur City,Basanagoud .R. Patil (Yatnal),BJP,60.0,4.0,261010514.0,206167799.0,Graduates,B.Com from S S P commerce college bijapur 1983 from kud dharwad,GEN,Bijapur,Agriculture and social service,house wife and social service,"Agriculture / Farming, Social Work / Activism","Not Given, Social Work / Activism"
37,Raichur Rural,Basanagouda Daddal,INC,51.0,1.0,106206942.0,8731726.0,Higher Secondary Education,"PUC from Sharada Vidyaniketana, Open University Manvi in 2013",ST,Raichur,Agriculture,House Hold and Agriculture,Agriculture / Farming,Agriculture / Farming
38,Badami,B.B.Chimmanakatti,INC,39.0,0.0,57071896.0,27148417.0,Graduates,"BBM From Bhagavan Mahaveera Jain College Bangalore, Bangalore University - August-2021",GEN,Bagalkot,Agriculture,Layer and Director of Hyper Megamart and Food Processing Industery Private Limited,Agriculture / Farming,Business / Entrepreneurship
39,Arabhavi,Balachandra Lakshmanarao Jarakiholi,BJP,56.0,0.0,356992186.0,1750000.0,Higher Secondary Education,"PUC 1st From J S S Arts, Science and Commerce College, Gokak, Year-1983",GEN,Belgaum,Agriculture Business,Not Given,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify
40,Yelburga,Basavaraj Rayareddi,INC,67.0,0.0,436418121.0,45000000.0,Graduates,B .A. L L B from Dharwad University Dharwad 1981,GEN,Koppal,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
