,uuid,education_category
0,DxnzLbrc,Unknown
1,3JJGriGQ,Graduate
2,W5uEQz6o,Higher Secondary Education
3,6AZsFeeF,Primary Education
4,8nscfPC2,Secondary Education
5,aVPC2Rat,Postgraduate
6,LgyZrfYt,Diploma Holder
7,YXzaZJTr,Vocational Training
8,CJzsPym6,Doctorate
9,4CL7kiuk,Illiterate
10,S3cAfS53,Technical/Professional Course
11,LUgFJqBg,Literate
12,BsNzRJhj,Unknown
13,TfFiGYuj,Unknown
14,fGTDCga6,Unknown
15,F2TyAfMJ,Unknown
16,FGCr8HNW,Unknown
17,byQevoCY,Unknown
18,L3XCzM4e,Unknown
19,cinStYhX,Unknown
20,fStoShay,Unknown
21,74TyXKbc,Unknown
22,UQtnGhi3,Unknown
23,Z2hSKzNv,Unknown
24,gMrxCVnh,Unknown
25,f4QDxLjG,Unknown
26,mHus3wjF,Unknown
27,2euYsbmB,Graduate
28,3apyPnqx,Higher Secondary Education
29,SZeTjyDU,Unknown
30,N752Rggd,Secondary Education
31,ez9FGkYz,Primary Education
32,Q7Z2HiSC,Higher Secondary Education
33,JNVCr2Uf,Graduate
34,RKwCefFS,Graduate
35,E2ypWVuL,Higher Secondary Education
36,5EL8rL5p,Graduate
37,Gso9WuPH,Higher Secondary Education
38,MHzgv9o8,Unknown
39,QA3VpLL7,Secondary Education
40,UaxeQxhg,Graduate
41,NVvEjSrp,Higher Secondary Education
42,UtmPHvMh,Graduate
43,cNtNC4xM,Unknown
44,D3vThgh4,Unknown
45,6zRrd8pY,Primary Education
46,Mmzzbeam,Unknown
47,Hfi7ouTX,Primary Education
48,HR5H9CuQ,Secondary Education
49,cwc9kcF9,Higher Secondary Education
50,D2FY4TxP,Postgraduate
51,K2MhtyHR,Graduate
52,MEwqtDjR,Graduate
53,bvK6Ftvz,Postgraduate
54,nAeknrJE,Primary Education
55,PhSYAn8q,Secondary Education
56,3D6ujSXL,Primary Education
57,8wvGpFZJ,Primary Education
58,MELK9E7E,Graduate
59,mWJ77Zk4,Graduate
60,Qk6QdDBw,Graduate
61,A3wBaTTG,Postgraduate
62,DVJSfJn4,Unknown
63,3KxmoTaq,Unknown
64,8EtPMNDR,Higher Secondary Education
65,ByTzGszc,Graduate
66,fs2kVis6,Graduate
67,UKNHurL3,Graduate
68,dEvCGQSR,Higher Secondary Education
69,jRR472aW,Postgraduate
70,RQsDb93P,Primary Education
71,kZAhZC9C,Higher Secondary Education
72,8mWWbq7z,Primary Education
73,5apEF7pe,Primary Education
74,4FQYrsrs,Higher Secondary Education
75,SrFPh2XP,Higher Secondary Education
76,6unsgpBU,Vocational Training
77,aVNAvejj,Graduate
78,SvU338r9,Unknown
79,NQ9mtftz,Unknown
80,CUBB6ZNR,Higher Secondary Education
81,LhpucQ34,Postgraduate
82,KoSE2qDE,Higher Secondary Education
83,XhnJFJDt,Higher Secondary Education
84,ieUXJSeR,Secondary Education
85,LXoj2FJd,Graduate
86,kxnZAYvY,Postgraduate
87,P2vLjdaY,Primary Education
88,B9o6yZmM,Postgraduate
89,EmiCsksY,Primary Education
90,YR96acjQ,Graduate
91,hMJ63B2g,Unknown
92,SRgCMguy,Graduate
93,3mP8mnjA,Unknown
94,5cwKu9Vc,Higher Secondary Education
95,kPqRW6K6,Secondary Education
96,o8wFixCr,Secondary Education
97,k5mCY7eW,Primary Education
98,F5ATnJNH,Higher Secondary Education
99,Vj2rhGay,Diploma Holder
100,BAB96Aoo,Graduate
101,kuYvtPaE,Secondary Education
102,cYdcgScL,Unknown
103,2geTz8zk,Vocational Training
104,4VL4S92W,Primary Education
105,7R5QgQG8,Primary Education
106,XYHrcC5B,Primary Education
107,TfeosDzz,Graduate
108,9Qe3u9fJ,Unknown
109,TZKGt5hZ,Unknown
110,LzXcgZ5U,Graduate
111,4KJskXxu,Unknown
112,MVMjouj3,Unknown
113,SHmKfjHk,Primary Education
114,VVaThtgZ,Unknown
115,Y8E3nHiP,Diploma Holder
116,6NiaW8mZ,Higher Secondary Education
117,TdFxpTHX,Higher Secondary Education
118,YogwVmJH,Higher Secondary Education
119,fLeeLv99,Primary Education
120,ioFGXtxU,Secondary Education
121,aGvXHUSx,Secondary Education
122,UnQDqWnG,Primary Education
123,67rrkaut,Primary Education
124,5woJp2F4,Higher Secondary Education
125,KMMw39Yw,Graduate
126,bvRsnJ2y,Graduate
127,mZboWsJr,Primary Education
128,erQy265B,Primary Education
129,eR6bnoCr,Higher Secondary Education
130,fZ3cZZLu,Unknown
131,28K7TNRe,Graduate
132,QN3mcSfz,Unknown
133,eMjQDLLg,Unknown
134,c8Xva5nc,Unknown
135,QRuAzrax,Graduate
136,FTgQL6PK,Unknown
137,WHdoSXjj,Higher Secondary Education
138,L6ouJibk,Unknown
139,FaSk9MLj,Unknown
140,KS9bNRKt,Graduate
141,i7D86VFT,Unknown
142,kcpbzdA4,Primary Education
143,aFCr8LpD,Graduate
144,NjEjwzXh,Postgraduate
145,apozUrUv,Postgraduate
146,VtNBgSUb,Unknown
147,hNQZtuBd,Unknown
148,WBJWHEJ4,Illiterate
149,ELdCVKSM,Primary Education
150,V6wwfnSQ,Higher Secondary Education
151,NXq4khej,Secondary Education
152,FgARQGuu,Postgraduate
153,E57vGMGd,Higher Secondary Education
154,e5PezRVH,Unknown
155,eYvrVikU,Unknown
156,8wYkQb8T,Graduate
157,Cqb5yw6N,Higher Secondary Education
158,QRwSZkCD,Higher Secondary Education
159,QBsbkfmk,Primary Education
160,gLnbB8wL,Unknown
161,hyPsV9iF,Graduate
162,4TyEeoff,Graduate
